"gene_id","gene_symbol","logFC","t","P.Value","adj.P.Val"
"ENSG00000135063","FAM189A2",-0.599353895049504,-12.2138809184615,1.07096112058479e-31,5.35480560292395e-28
"ENSG00000272927","RP11-1191J2.5",-0.777239987011486,-12.034814999927,6.87982078875532e-31,1.71995519718883e-27
"ENSG00000233237","LINC00472",-0.679551158350651,-11.3883668023158,4.83105234530549e-28,7.00034167327451e-25
"ENSG00000131095","GFAP",-0.516778892862501,-11.3734952103861,5.60027333861961e-28,7.00034167327451e-25
"ENSG00000279312","RP3-331H24.7",-0.649834848326229,-11.3086652116146,1.06470959473815e-27,1.06470959473815e-24
"ENSG00000142273","CBLC",-0.329442126422029,-11.243914097346,2.01727585225484e-27,1.68106321021237e-24
"ENSG00000143126","CELSR2",-0.553685239535459,-11.2099554766517,2.8174546638581e-27,2.0124676170415e-24
"ENSG00000148053","NTRK2",-0.511175201286544,-11.1575892281639,4.7094842607541e-27,2.94342766297132e-24
"ENSG00000108830","RND2",-0.635946272265753,-11.0054477615647,2.07435102935293e-26,1.15241723852941e-23
"ENSG00000196668","LINC00173",-0.803997032627219,-10.8430223048451,9.93477319764887e-26,4.96738659882443e-23
"ENSG00000196611","MMP1",0.502897004389792,10.6585046185141,5.76607546859172e-25,2.62094339481442e-22
"ENSG00000140538","NTRK3",-0.602853776017712,-10.6428275404571,6.68834848326833e-25,2.78681186802847e-22
"ENSG00000016391","CHDH",-0.39503443570545,-10.6199607363494,8.30200639909633e-25,3.19307938426782e-22
"ENSG00000133665","DYDC2",-0.596834540519532,-10.5998390977014,1.00381613646874e-24,3.58505763024548e-22
"ENSG00000259495","RP11-210M15.2",-0.589928841817193,-10.5853355769635,1.15086992797645e-24,3.73622147078382e-22
"ENSG00000227388","RP11-112J3.16",-0.775960097266866,-10.5812885123077,1.19559087065082e-24,3.73622147078382e-22
"ENSG00000269911","RP1-172N19.5",-0.552208985300756,-10.5594502651804,1.46838550574802e-24,4.31878089925887e-22
"ENSG00000053747","LAMA3",-0.571716539202551,-10.4343451798809,4.73700057311095e-24,1.31583349253082e-21
"ENSG00000154529","CNTNAP3B",-0.667732669272945,-10.3461158972652,1.07519552220364e-23,2.82946190053589e-21
"ENSG00000164128","NPY1R",-0.895679175394994,-10.2196484515443,3.44952679036081e-23,8.62381697590202e-21
"ENSG00000178965","ERICH3",-0.781789994459796,-10.2044868798603,3.96402597154022e-23,9.43815707509577e-21
"ENSG00000124205","EDN3",-0.761584901913375,-10.1722760026705,5.32330399566115e-23,1.20984181719572e-20
"ENSG00000100146","SOX10",-0.762862061214279,-10.1300623110127,7.82567516164573e-23,1.70123373079255e-20
"ENSG00000141682","PMAIP1",-0.527387294564298,-10.0972861619017,1.05459114689687e-22,2.19706488936848e-20
"ENSG00000144649","FAM198A",-0.573339696383481,-10.0634681365086,1.43360055105246e-22,2.86720110210492e-20
"ENSG00000143867","OSR1",-0.58747270409371,-10.0463028492589,1.67486403865734e-22,3.22089238203335e-20
