"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ALLOGRAFT_REJECTION",5.10504430446036e-19,2.55252215223018e-17,1.12391496374483,-0.705561903377608,-2.96080314274359,74,"6367/3689/3606/3122/942/3109/1520/3561/4065/586/924/3117/2533/5788/1234/2213/3111/6352/717/3976/3559/3394/5551/3932/3002/9450/1230/10225/915/914/3553/3662/2833/27240/916/6351/4050/5579/6347/3001/10261/6356/729230/3702/3560/940/4283/7124/917/926/2069/50852/973/10563"
"HALLMARK_E2F_TARGETS",1.07127964628476e-12,2.67819911571191e-11,0.910119734774459,0.702714161113317,2.92599843784169,48,"4085/6790/79019/9700/7153/146909/332/1062/79733/4171/3161/23594/57405/9837/4001/983/24137/10733/10635/9319/9133/55723/993/4605/83461/81624/701/1033/5347/9833/6241/9212/29089/55143/1164/9787/9232/55635/3070/11004/4288/675"
"HALLMARK_G2M_CHECKPOINT",1.78307949497084e-12,2.97179915828474e-11,0.910119734774459,0.672814556073877,2.9018813099508,55,"51659/4085/6790/9700/10024/55872/7153/332/1062/11065/899/4171/3161/990/51203/23594/4001/983/24137/10733/3832/22974/9133/10721/993/4605/890/1033/5347/8318/1058/9493/56992/57082/699/9212/8438/1164/9232/10403/1870/4751/11004/4288/675"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",7.50797323371287e-12,9.38496654214109e-11,0.875325132024659,-0.716026042010303,-2.72932079430299,45,"715/710/629/716/2209/3123/3695/942/10437/3117/81030/3627/6352/3394/6373/4939/3620/94240/3662/10875/8743/2357/6347/57823/3001/3560/952/4283/55024/3075/7412/10964/969/64108/5743/6398/8638/3135/3429"
"HALLMARK_INFLAMMATORY_RESPONSE",3.34119755488182e-10,3.34119755488182e-09,0.814035837847908,-0.563379477218453,-2.42214744430152,82,"6367/5329/3696/3606/9966/133/6364/10630/23601/1536/970/3627/27074/6352/3976/8685/3932/6373/962/3553/6504/10663/6376/5724/3575/8743/2357/6347/4973/3560/3576/3552/4283/64127/4481/366/5996/5739/6369/5008/2069/6402/969/136/64108/1902/6361/6372/8744/3037/1236/3586"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1.18134371987478e-09,9.84453099895651e-09,0.788186810800237,0.517656385547257,2.50055595680941,86,"1952/10439/26353/54898/79875/5979/60598/744/55540/80004/11001/4477/9687/79083/6820/58495/9620/107/7033/2674/3875/4602/7869/65055/6542/64284/8614/10202/8416/9536/23286/5366/4886/22996/3880/771/7031/55638/3856/4137/11098"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.02228839064279e-09,1.85326757364301e-08,0.774939030136436,-0.491003826391677,-2.21557122067368,121,"5329/9235/51330/2619/7474/3918/4313/284217/4837/2199/10516/6382/4015/3371/4982/1296/22943/4314/1307/5270/7049/4312/131578/6696/3486/115908/3576/3491/2919/11167/5396/6387/6422/5806/8572/7169/8038/2331/25878/8076/10398/6876/1301/2335/7058/7412/1462/6591/1278/1277/1292/4060/2200/1290/1634/4256/2192/4638/6372/1281/2006/1303/59/1490/633/6424/1289/2191/7052/6586/2247/1311/23705/3624/1842/26585/26577/1293/290/4147/2697"
"HALLMARK_ESTROGEN_RESPONSE_LATE",3.20128253669611e-09,1.85326757364301e-08,0.774939030136436,0.489933847420271,2.40613666529613,100,"429/9254/1952/27075/2852/56521/51659/10439/26353/2261/999/5979/3993/55540/11001/10610/29887/9455/5104/6820/58495/5603/1363/7033/7153/10551/4602/7869/4192/5618/10202/8416/9536/4886/990/3880/771/11187/10733/7031/4137/11098"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",3.33588163255741e-09,1.85326757364301e-08,0.774939030136436,-0.622139193591103,-2.45387956787977,55,"5329/3606/597/6364/9945/5341/3914/3627/6352/3371/3976/5328/6373/3553/8061/9242/3575/6351/6347/8942/4973/5055/3491/2919/5806/3552/7124/969/2920/5743/6372/8744/2921/2150/9314"
"HALLMARK_COMPLEMENT",3.02728820057702e-08,1.51364410028851e-07,0.719512826338911,-0.557287446584258,-2.29829737726348,69,"715/710/718/629/5329/4057/1356/716/1520/5341/1803/9806/6280/6352/717/712/3932/3002/5294/714/255738/3816/3001/8942/4973/5055/725/2919/2219/1378/64167/2335/3075/4322/7941/4321/3003/1608/341/5265"
"HALLMARK_IL2_STAT5_SIGNALING",2.04403686757537e-06,9.29107667079716e-06,0.627256739718528,-0.566598664001462,-2.22096821847829,52,"6271/64866/942/5325/8530/7850/3627/2012/3976/3559/3394/962/4582/3662/10875/825/1493/4050/51284/8743/6696/3560/8320"
"HALLMARK_MITOTIC_SPINDLE",3.16278458667915e-06,1.31782691111631e-05,0.627256739718528,0.676662330364033,2.49174763197402,27,"6790/9700/7153/332/1062/51203/4001/983/24137/3832/22974/9133/5347/9493/56992/699/80119/9787/10403/4751/11004/675"
"HALLMARK_KRAS_SIGNALING_UP",7.6088573263235e-06,2.9264835870475e-05,0.610526878385931,-0.436112975573729,-1.94480714813772,110,"10205/629/5329/3689/80380/220/7805/25907/3783/6662/6364/9945/1520/7852/3561/3627/10457/6590/2012/3976/3394/5328/2995/3553/3575/51311/639/6696/3486/10418/5396/5284/51129/2162/8808/7851/3075/2069/51704/5743/2150/27299/3290/9314/4318/2591/3936/2118/650/80201/56729/3624/3237/28959/2115/26499/2982/55365/50486/9358/7139"
"HALLMARK_COAGULATION",0.000284912833519399,0.00101754583399785,0.49849310876659,-0.452015251307737,-1.84146521655348,66,"715/710/718/629/6271/716/5341/301/4313/1803/717/5328/712/4314/4316/4312/4973/3426/5055/1513/2335/3075/2200/341/5265/4318/7018/5028/2152/9104/2266"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000510453172291774,0.00161663214434551,0.477270815362862,-0.606875375023761,-1.98024525956208,24,"51330/3561/7850/3627/3559/6373/1230/3553/4050/2919/952/4283/7124/5320/10563/2921"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000517322286190563,0.00161663214434551,0.477270815362862,-0.713279466447792,-1.97414529211664,13,"716/10437/3627/27074/6373/94240/10964/6402/64108/8638/3429/684"
"HALLMARK_MYC_TARGETS_V1",0.00266536102238961,0.00783929712467533,0.431707695803346,0.820058983325633,1.93730870743178,6,"4085/4171/7298/890/8318"
"HALLMARK_HYPOXIA",0.0111270240087389,0.0309084000242748,0.380730400722792,-0.395337078535288,-1.56366493996443,56,"5329/1356/6518/1907/133/7852/11015/2651/55076/4015/3486/1944/3491/8406/112464/51129/51316/136/1634/3219/1490/633/5317/8839/1289/2152/7052/10891"
