sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Final_Label
TCGA-A2-A0EY-01,-0.08239447,0.8157479,-0.961818,-2.147267,0.91344684,0.47951293,0.3707394,0.059309274,-0.99589133,-1.9513397,-0.44731507,-0.93207955,-0.19911882,-0.23965137,0.19084448,-0.42377418,1.0183016,2.0294747,-0.7772024,-0.6007446,LumB
TCGA-A8-A06O-01,1.2871122,0.4221994,-1.1622133,0.14032781,0.3366975,-0.47651199,1.5440053,0.29975647,0.44840434,-0.33550343,-1.136973,0.3483636,0.8647791,0.3299986,-0.80675346,-1.5070429,-0.9019055,-0.06667728,0.6225161,0.74956363,LumB
TCGA-D8-A27W-01,1.4518214,0.37587744,-4.0492473,-1.0742586,1.5871887,-0.89846534,-2.15756,-0.29267776,-1.8945711,2.2891603,-0.53675824,0.9696365,0.20313822,1.2509117,0.5394233,-0.87776965,-0.40896446,-0.6681787,-0.04453851,-0.044280432,LumB
TCGA-A8-A091-01,1.2854408,0.459852,-3.309894,3.3584242,2.3475232,-1.350972,-0.4132617,-1.0621334,-1.0136296,1.900488,-0.4967513,1.009239,0.6853947,1.7582642,0.82961136,-2.750872,-1.7427747,-0.33227566,0.5004927,0.10369263,LumA
TCGA-D8-A1XT-01,0.5241134,-1.0870967,1.1799123,-3.624997,-1.71079,-0.023382945,-0.2369813,-0.7676746,-0.73116195,-0.45778954,-1.1473223,-0.5389932,0.72362316,-0.819542,-1.7760252,-0.6492002,-0.86136776,0.65981567,0.3801691,-3.134205,Her2
TCGA-A8-A08P-01,1.4379811,0.0048484076,-1.6192414,-3.9888399,-0.57843876,0.7299817,0.41281185,1.6347809,-0.25080135,0.13253173,-1.0858178,0.64742076,-0.40447018,-0.6222893,-0.962547,-1.4886848,0.7414549,0.2927701,0.6955467,0.34349942,LumB
TCGA-D8-A1X8-01,-0.766488,0.52170056,-1.0781411,1.567534,1.1656737,0.5399272,0.9113835,0.3796004,-0.3713837,-0.89056844,0.31569055,-0.011219805,0.42093283,0.93551844,0.15369341,-1.9533854,1.194143,2.4469147,-0.8914497,-0.35581645,LumA
TCGA-C8-A1HM-01,1.9313046,-0.260655,-2.2566671,-3.4436104,0.63487756,-1.208186,1.8812301,1.46003,-0.37173772,-0.9656994,-0.5340841,-1.3064805,-0.7215723,-0.03770016,0.674658,-2.2056968,-0.7725,1.2069396,-1.1281265,1.8503492,LumB
TCGA-AO-A0J5-01,-0.49293676,0.663605,-1.6896892,0.8001607,0.6239182,-0.090299085,0.68805325,-0.7532861,0.40493804,-0.2821539,-2.234342,2.2308307,1.598214,-0.9345712,-1.9796183,-0.82067716,-0.459212,-1.1166658,2.155092,-1.7972102,LumA
TCGA-A8-A08T-01,0.011713054,-0.0064058853,0.42468843,0.32563448,0.23633595,-0.05192244,0.37528968,-0.055360578,0.27362484,-0.22071725,-0.34336218,0.26462916,0.07112217,-0.3938077,-0.6204089,-0.7902963,-0.25745565,0.24306338,0.64181316,-0.32614967,LumA
TCGA-AC-A2BK-01,4.991363,-1.5715796,0.41130105,-1.6862569,-2.4505413,0.42772862,-0.8134676,0.40456066,1.3627212,7.152876,5.120926,-3.7022784,1.2113488,5.0702615,2.4849825,2.7865899,-1.3325622,-6.8456554,-3.3531427,-0.5768565,Basal
TCGA-A2-A0YM-01,-1.6132644,-1.2872684,-1.636193,-2.0641398,-0.5822932,-0.96645004,-1.4626632,0.44275478,-0.70155555,0.9720554,1.092997,-1.1264898,2.9228885,1.0427898,1.2569507,2.5807564,-0.8923997,-0.2808198,-1.9238296,-2.696797,Basal
TCGA-A1-A0SO-01,1.6137052,-0.65936804,-1.5250566,-0.15313643,0.7751242,-0.11043014,-0.22524446,0.63410026,0.88865256,2.9862585,1.7244672,-1.9981046,1.7436805,3.0478835,3.288596,2.271572,-1.1342359,-3.1327338,-2.2602746,0.31907728,Basal
