"Ensembl_ID","Gene_Symbol","ENTREZID","logFC","t","adj.P.Val"
"ENSG00000135063","FAM189A2","9413",-0.599353895049504,-12.2138809184615,5.35480560292395e-28
"ENSG00000272927","RP11-1191J2.5",NA,-0.777239987011486,-12.034814999927,1.71995519718883e-27
"ENSG00000233237","LINC00472","79940",-0.679551158350651,-11.3883668023158,7.00034167327451e-25
"ENSG00000131095","GFAP","2670",-0.516778892862501,-11.3734952103861,7.00034167327451e-25
"ENSG00000279312","RP3-331H24.7",NA,-0.649834848326229,-11.3086652116146,1.06470959473815e-24
"ENSG00000142273","CBLC","23624",-0.329442126422029,-11.243914097346,1.68106321021237e-24
"ENSG00000143126","CELSR2","1952",-0.553685239535459,-11.2099554766517,2.0124676170415e-24
"ENSG00000148053","NTRK2","4915",-0.511175201286544,-11.1575892281639,2.94342766297132e-24
"ENSG00000108830","RND2","8153",-0.635946272265753,-11.0054477615647,1.15241723852941e-23
"ENSG00000196668","LINC00173","100287569",-0.803997032627219,-10.8430223048451,4.96738659882443e-23
"ENSG00000196611","MMP1","4312",0.502897004389792,10.6585046185141,2.62094339481442e-22
"ENSG00000140538","NTRK3","4916",-0.602853776017712,-10.6428275404571,2.78681186802847e-22
"ENSG00000016391","CHDH","55349",-0.39503443570545,-10.6199607363494,3.19307938426782e-22
"ENSG00000133665","DYDC2","84332",-0.596834540519532,-10.5998390977014,3.58505763024548e-22
"ENSG00000259495","RP11-210M15.2","101929560",-0.589928841817193,-10.5853355769635,3.73622147078382e-22
"ENSG00000227388","RP11-112J3.16",NA,-0.775960097266866,-10.5812885123077,3.73622147078382e-22
"ENSG00000269911","RP1-172N19.5",NA,-0.552208985300756,-10.5594502651804,4.31878089925887e-22
"ENSG00000053747","LAMA3","3909",-0.571716539202551,-10.4343451798809,1.31583349253082e-21
"ENSG00000154529","CNTNAP3B","728577",-0.667732669272945,-10.3461158972652,2.82946190053589e-21
"ENSG00000164128","NPY1R","4886",-0.895679175394994,-10.2196484515443,8.62381697590202e-21
"ENSG00000178965","ERICH3","127254",-0.781789994459796,-10.2044868798603,9.43815707509577e-21
"ENSG00000124205","EDN3","1908",-0.761584901913375,-10.1722760026705,1.20984181719572e-20
"ENSG00000100146","SOX10","6663",-0.762862061214279,-10.1300623110127,1.70123373079255e-20
"ENSG00000141682","PMAIP1","5366",-0.527387294564298,-10.0972861619017,2.19706488936848e-20
"ENSG00000144649","FAM198A","729085",-0.573339696383481,-10.0634681365086,2.86720110210492e-20
"ENSG00000143867","OSR1","130497",-0.58747270409371,-10.0463028492589,3.22089238203335e-20
"ENSG00000186715","MST1L","11223",-0.637593055777573,-10.0261666119304,3.72148449268648e-20
"ENSG00000119147","C2orf40","84417",-0.65291560285981,-9.99576577315472,4.72235685109786e-20
"ENSG00000278989","RP11-762L8.6",NA,-0.537824289931722,-9.859595097882,1.54731347313016e-19
"ENSG00000135424","ITGA7","3679",-0.443683868576409,-9.85249688598798,1.59353946007813e-19
"ENSG00000143127","ITGA10","8515",-0.475334246323743,-9.84628212834883,1.63002369646881e-19
"ENSG00000115919","KYNU","8942",0.624024759353508,9.81586924757283,2.07030301849472e-19
"ENSG00000144712","CAND2","23066",-0.579982252541292,-9.78388724798616,2.66724565790584e-19
"ENSG00000081479","LRP2","4036",-0.56849081076072,-9.72878579853196,4.17438215200351e-19
"ENSG00000177098","SCN4B","6330",-0.431554586801784,-9.72664200417399,4.17438215200351e-19
"ENSG00000143546","S100A8","6279",0.70254499311912,9.69309371643419,5.45594210170807e-19
"ENSG00000157303","SUSD3","203328",-0.827264501913915,-9.68244456532976,5.83030809699694e-19
"ENSG00000133256","PDE6B","5158",-0.661737570217523,-9.66679286651327,6.51472977144314e-19
"ENSG00000272505","RP11-981G7.6",NA,-0.596790660513015,-9.53286192788598,2.04699650980784e-18
"ENSG00000183833","MAATS1","89876",-0.531185924559287,-9.49743580598696,2.68582943929852e-18
"ENSG00000149927","DOC2A","8448",-0.562910750752579,-9.49581389687936,2.68582943929852e-18
"ENSG00000250305","KIAA1456","57604",-0.598253445633561,-9.45906652066248,3.56414760261659e-18
"ENSG00000223878","AC005517.3",NA,-0.55664469769622,-9.45761778869018,3.56414760261659e-18
"ENSG00000146038","DCDC2","51473",-0.583903409450902,-9.44558413255413,3.86461534414686e-18
"ENSG00000276842","RP11-713N11.6",NA,-0.627971822313504,-9.39907927250755,5.64088932382156e-18
"ENSG00000184911","DMRTC1B","728656",-0.595485623420462,-9.37296438601368,6.90583311988354e-18
"ENSG00000064309","CDON","50937",-0.506654470453263,-9.35960540556214,7.57922970983313e-18
"ENSG00000130045","NXNL2","158046",-0.649558743011381,-9.34046926363833,8.74273480699296e-18
"ENSG00000144152","FBLN7","129804",-0.42169782129457,-9.32189442602691,1.0038308650204e-17
"ENSG00000112183","RBM24","221662",-0.715673617643729,-9.28650762589832,1.33038298539702e-17
"ENSG00000251095","RP11-115D19.1","105377329",-0.771731592628872,-9.2807239558592,1.3701386955837e-17
"ENSG00000162426","SLC45A1","50651",-0.413303459796596,-9.24484872369396,1.82289691501592e-17
"ENSG00000162931","TRIM17","51127",-0.637239847233792,-9.2205434709881,2.19775559413648e-17
"ENSG00000113739","STC2","8614",-0.652909315006619,-9.21658321645693,2.22465138055633e-17
"ENSG00000136883","KIF12","113220",-0.370296377652095,-9.21473206331171,2.22465138055633e-17
"ENSG00000120251","GRIA2","2891",-0.763761534893298,-9.20907911608469,2.29199183882506e-17
"ENSG00000171848","RRM2","6241",0.310671031283392,9.19743907173339,2.48470783215321e-17
"ENSG00000182379","NXPH4","11247",0.486232398307837,9.17991700236159,2.79031076482441e-17
"ENSG00000100626","GALNT16","57452",-0.494308894317162,-9.17962121616009,2.79031076482441e-17
"ENSG00000196136","SERPINA3","12",-0.408015460141013,-9.17664064923883,2.81368818625614e-17
"ENSG00000069702","TGFBR3","7049",-0.690667643331989,-9.15788428701885,3.24166010634718e-17
"ENSG00000204837","RP11-204M4.2",NA,-0.568411689499092,-9.14025963616706,3.69939245596854e-17
"ENSG00000239704","CDRT4","284040",-0.570909015148864,-9.1282273559061,3.99154109009702e-17
"ENSG00000117009","KMO","8564",0.571494157448002,9.12744001260903,3.99154109009702e-17
"ENSG00000163220","S100A9","6280",0.669349685225944,9.09674735087014,5.0843925050057e-17
"ENSG00000154263","ABCA10","10349",-0.510545823655008,-9.07668618507624,5.92298949957547e-17
"ENSG00000206549","PRSS50",NA,-0.678836476609796,-9.07188195487491,6.07374870919929e-17
