Representation,Resample,n_subsample,ARI,NMI
raw_5000genes,1,7432,0.010673185560968107,0.030562360275712474
raw_5000genes,2,7432,0.0076076014568034174,0.023649842707956916
raw_5000genes,3,7432,0.0,0.0
raw_5000genes,4,7432,0.009075243281364888,0.02733550509262233
raw_5000genes,5,7432,0.0077747329808735945,0.022542787212125055
raw_5000genes,6,7432,0.0,0.0
raw_5000genes,7,7432,0.00847445427286524,0.027096139460034235
raw_5000genes,8,7432,0.0,0.0
raw_5000genes,9,7432,0.006690540712556138,0.02132329947417968
raw_5000genes,10,7432,0.0,0.0
raw_5000genes,11,7432,0.0,0.0
raw_5000genes,12,7432,0.009096699968558185,0.027213155483237494
raw_5000genes,13,7432,0.0,0.0
raw_5000genes,14,7432,0.0015213249884533787,0.00400631824930739
raw_5000genes,15,7432,0.0,0.0
raw_5000genes,16,7432,0.009276159770552411,0.027613441064749326
raw_5000genes,17,7432,0.0,0.0
raw_5000genes,18,7432,0.008009259998425316,0.024263497925018716
raw_5000genes,19,7432,0.005301191411210451,0.020212132098224127
raw_5000genes,20,7432,0.007758977143831803,0.023993873688250875
raw_5000genes,21,7432,0.010658059732425037,0.03239845051839513
raw_5000genes,22,7432,0.00646191479923847,0.02068838331298851
raw_5000genes,23,7432,0.0,0.0
raw_5000genes,24,7432,0.0014269727612659226,0.003897167141063872
raw_5000genes,25,7432,0.00995610135237692,0.029194726860114324
raw_5000genes,26,7432,0.0065852553734177584,0.020419624489692825
raw_5000genes,27,7432,0.006592318153838262,0.02070444150864091
raw_5000genes,28,7432,0.00910864430597455,0.027786635376728902
raw_5000genes,29,7432,0.008836489269934442,0.027831200121170713
raw_5000genes,30,7432,0.009523939788545276,0.028708797604121865
raw_5000genes,31,7432,0.009290665513963242,0.02821314090424415
raw_5000genes,32,7432,0.009260729383395377,0.028299464584973212
raw_5000genes,33,7432,0.006645394512273821,0.0202413206389528
raw_5000genes,34,7432,0.009449186913836031,0.02795436862680038
raw_5000genes,35,7432,0.0,0.0
raw_5000genes,36,7432,0.010704279872338903,0.030879165347605167
raw_5000genes,37,7432,0.00958985429295174,0.0286785869188408
raw_5000genes,38,7432,0.0068348841280259955,0.021921217875761383
raw_5000genes,39,7432,0.007830803879164995,0.025897452508195303
raw_5000genes,40,7432,0.009274264233796658,0.028429876287786215
raw_5000genes,41,7432,0.009044090010807778,0.02778138715910816
raw_5000genes,42,7432,0.006437867717000322,0.020524913126733383
raw_5000genes,43,7432,0.006841199186593702,0.021411115356062146
raw_5000genes,44,7432,0.0051692851699125155,0.01629328385681372
raw_5000genes,45,7432,0.008994563256250055,0.027125765679644923
raw_5000genes,46,7432,0.0065603930756243725,0.02041852729649408
raw_5000genes,47,7432,0.008124417381635348,0.025934766246059955
raw_5000genes,48,7432,0.010383282541412636,0.02999828864179945
raw_5000genes,49,7432,0.0,0.0
raw_5000genes,50,7432,0.0015009994581360242,0.0039510685159348845
PCA_40,1,7432,0.008312484857680316,0.025616870333100724
PCA_40,2,7432,0.002681964147930101,0.008480397921017575
PCA_40,3,7432,0.007963537739438913,0.024790725187900785
PCA_40,4,7432,0.009156715242029817,0.027393082961147373
PCA_40,5,7432,0.009763050417701872,0.02454431390167631
PCA_40,6,7432,0.01405926196611567,0.04146784612234051
PCA_40,7,7432,0.007823770276303986,0.023234049762974197
PCA_40,8,7432,0.009816869114408277,0.023310649659407153
PCA_40,9,7432,0.009293471029801827,0.02225112859653815
PCA_40,10,7432,0.007192934393748046,0.023918274815868886
PCA_40,11,7432,0.01564085199973241,0.04034419908034129
PCA_40,12,7432,0.006705863882624229,0.015674553478002905
PCA_40,13,7432,0.004112448960912542,0.02602592088816119
PCA_40,14,7432,0.009261945613969598,0.028505707130678126
PCA_40,15,7432,0.0102793558571676,0.030967692858341223
PCA_40,16,7432,0.013169922810984006,0.03871999456745798
PCA_40,17,7432,-0.0012080520006921842,0.05003077728162653
PCA_40,18,7432,0.007789919590509033,0.025870999632948324
PCA_40,19,7432,0.010519602400309781,0.031183765091223965
PCA_40,20,7432,0.010686894607469757,0.03130339918559244
PCA_40,21,7432,0.012244112794556249,0.028948833780251756
PCA_40,22,7432,0.0,0.0
PCA_40,23,7432,0.010358626651037739,0.030253236179625588
PCA_40,24,7432,0.011600662969989661,0.03347149388915488
PCA_40,25,7432,-0.004241103490696288,0.009514019591073446
PCA_40,26,7432,0.0037441302150153094,0.013041103111830038
PCA_40,27,7432,0.01283147431455922,0.03754506286316297
PCA_40,28,7432,0.00807176051467038,0.024850902542960168
PCA_40,29,7432,0.01045157565424996,0.031204266727120237
PCA_40,30,7432,0.0054448585396315394,0.012239887265595622
PCA_40,31,7432,0.007946261635495765,0.023847857825297535
PCA_40,32,7432,0.0,0.0
PCA_40,33,7432,0.010953614051963413,0.032856328321372856
PCA_40,34,7432,0.004923474542765713,0.019140484392493873
PCA_40,35,7432,0.013338691212156903,0.033136741122252386
PCA_40,36,7432,0.011474710639897913,0.03446994294687302
PCA_40,37,7432,0.0,0.0
PCA_40,38,7432,0.00542600312690225,0.026097470243182007
PCA_40,39,7432,0.007554333184087523,0.02363327348213778
PCA_40,40,7432,0.007587028088666328,0.026673465818200005
PCA_40,41,7432,0.006618703366596744,0.01973219360676457
PCA_40,42,7432,0.0014548208679568836,0.003919318397306232
PCA_40,43,7432,0.01183632291632402,0.030630206653555245
PCA_40,44,7432,0.014678203173789194,0.03646169477547834
PCA_40,45,7432,0.009143975463492052,0.02216284231257371
PCA_40,46,7432,0.003945863909107842,0.01609833691518736
PCA_40,47,7432,0.012128692061702081,0.029653214309876826
PCA_40,48,7432,0.002573104011059676,0.02555411619135356
PCA_40,49,7432,0.005587352835973346,0.02095068971528654
PCA_40,50,7432,0.010612769900266385,0.0318006474031243
VAE_Z10,1,7432,0.0068367947592013045,0.024119500557181567
VAE_Z10,2,7432,0.0067900639322800126,0.023763909719790807
VAE_Z10,3,7432,0.01605302644368919,0.046447177195162385
VAE_Z10,4,7432,0.009404791007791725,0.03002046532415757
