"gene_id","gene_symbol","logFC","t","P.Value","adj.P.Val"
"ENSG00000134853","PDGFRA",-0.676298798547992,-16.9828599169748,7.88812787462733e-56,3.94406393731367e-52
"ENSG00000162733","DDR2",-0.652818229912899,-16.3328403929436,2.7789484062601e-52,6.20968696017517e-49
"ENSG00000185483","ROR1",-0.717138963414088,-16.3092636670972,3.7258121761051e-52,6.20968696017517e-49
"ENSG00000243244","STON1",-0.7610052830206,-16.1949305423739,1.53959681243897e-51,1.92449601554872e-48
"ENSG00000118495","PLAGL1",-0.81745287079203,-15.9641456034938,2.65664815319236e-50,2.65664815319236e-47
"ENSG00000164484","TMEM200A",-0.5892306965104,-15.8483503981239,1.10011162887901e-49,9.1675969073251e-47
"ENSG00000122870","BICC1",-0.621488420937666,-15.3768556154962,3.3815717545281e-47,2.4154083960915e-44
"ENSG00000088756","ARHGAP28",-0.640332014467672,-15.1348807656112,6.16206696567527e-46,3.85129185354704e-43
"ENSG00000105971","CAV2",-0.553664988401665,-15.0815750717036,1.1639206922574e-45,6.46622606809665e-43
"ENSG00000182326","C1S",-0.619348393645059,-14.9205913874525,7.88283675196128e-45,3.94141837598064e-42
"ENSG00000057657","PRDM1",-0.622303472430927,-14.8136553599453,2.79066189636094e-44,1.26848268016406e-41
"ENSG00000166250","CLMP",-0.512550160055753,-14.6727115954022,1.46502118497504e-43,6.10425493739599e-41
"ENSG00000077264","PAK3",-0.62768841525217,-14.5795383874451,4.36212826724802e-43,1.67774164124924e-40
"ENSG00000105991","HOXA1",-0.463886372844301,-14.3757591580329,4.67585654130638e-42,1.66994876475228e-39
"ENSG00000168779","SHOX2",-0.375661174884793,-14.3490704913041,6.37004445045728e-42,2.12334815015243e-39
"ENSG00000135046","ANXA1",-0.573683835555398,-14.3433504760756,6.80616953663731e-42,2.12692798019916e-39
"ENSG00000153012","LGI2",-0.554714070459998,-14.2133761501454,3.05184442135419e-41,8.97601300398292e-39
"ENSG00000163430","FSTL1",-0.562360838734086,-14.1993680578272,3.58577163450517e-41,9.96047676251436e-39
"ENSG00000206538","VGLL3",-0.524962026129545,-14.0177384001316,2.87525912322783e-40,7.56647137691533e-38
"ENSG00000151917","BEND6",-0.544445737863408,-13.953575384728,5.97534209675e-40,1.4938355241875e-37
"ENSG00000149970","CNKSR2",-0.766862634144683,-13.9316949472923,7.66466998954363e-40,1.82492142608182e-37
"ENSG00000197646","PDCD1LG2",-0.632199634883826,-13.8542731123382,1.84613970564569e-39,4.19577205828566e-37
"ENSG00000149633","KIAA1755",-0.565372592368022,-13.8020677713235,3.33387820278498e-39,7.24756131040214e-37
"ENSG00000189184","PCDH18",-0.534689476269798,-13.6073131805398,2.98673880997129e-38,6.22237252077352e-36
"ENSG00000235531","MSC-AS1",-0.582870123710443,-13.5533869621256,5.46220502518657e-38,1.0384467317334e-35
"ENSG00000000971","CFH",-0.515043431623973,-13.5515457284605,5.57580871705934e-38,1.0384467317334e-35
"ENSG00000159403","C1R",-0.522449283715002,-13.5510369613329,5.60761235136037e-38,1.0384467317334e-35
"ENSG00000113083","LOX",-0.609727307443182,-13.5374126704403,6.52985549170528e-38,1.1660456235188e-35
"ENSG00000110427","KIAA1549L",-0.533700802854454,-13.5328565524791,6.87080073987277e-38,1.18462081721944e-35
"ENSG00000134874","DZIP1",-0.489130703826829,-13.4163786745888,2.51474185383175e-37,4.19123642305292e-35
"ENSG00000162692","VCAM1",-0.556981847940223,-13.3998645946827,3.02087871671614e-37,4.87238502696151e-35
"ENSG00000170153","RNF150",-0.646800172510635,-13.3930440041549,3.25842449276863e-37,5.09128826995098e-35
"ENSG00000180828","BHLHE22",-0.604712781842989,-13.3512353144676,5.17948860789824e-37,7.84771001196703e-35
"ENSG00000074047","GLI2",-0.569810428140533,-13.2931489150342,9.84608765655528e-37,1.44795406714048e-34
"ENSG00000110900","TSPAN11",-0.543251366672207,-13.2050787790974,2.59869673591993e-36,3.71242390845705e-34
"ENSG00000163520","FBLN2",-0.597009828553652,-13.1639727296958,4.08192736084569e-36,5.66934355673013e-34
"ENSG00000164694","FNDC1",-0.501306079000524,-13.132638123227,5.75561160294962e-36,7.77785351749948e-34
"ENSG00000145147","SLIT2",-0.522175315557667,-13.1295946863168,5.95076916108287e-36,7.82995942247746e-34
"ENSG00000144681","STAC",-0.799133786233465,-13.1049352320999,7.79525314708336e-36,9.99391429113251e-34
"ENSG00000196159","FAT4",-0.618463307914612,-13.0742788158593,1.08994259611162e-35,1.36242824513952e-33
"ENSG00000038427","VCAN",-0.639093489229149,-13.0472095299786,1.46473473370708e-35,1.78626187037449e-33
"ENSG00000101825","MXRA5",-0.432023823333157,-13.0289674890827,1.78714637296752e-35,2.12755520591371e-33
"ENSG00000134198","TSPAN2",-0.612603901062126,-13.0147949384464,2.08560569598924e-35,2.42512290231307e-33
"ENSG00000136235","GPNMB",-0.462067868693615,-13.0103399237131,2.18930298978881e-35,2.44113941323486e-33
"ENSG00000140285","FGF7",-0.525407787271577,-13.0100166044041,2.19702547191137e-35,2.44113941323486e-33
"ENSG00000180447","GAS1",-0.567494866875685,-13.0031874195512,2.36662627113454e-35,2.57241985992885e-33
"ENSG00000089472","HEPH",-0.474509721234898,-12.9784315448619,3.09816840587297e-35,3.29592383603508e-33
"ENSG00000108950","FAM20A",-0.566419923429948,-12.9703091287957,3.38417583597202e-35,3.52518316247086e-33
"ENSG00000196549","MME",-0.62569521884508,-12.9030774740515,7.01883958280335e-35,7.16208120694219e-33
"ENSG00000122420","PTGFR",-0.710835757539383,-12.8858234065273,8.46050654685851e-35,8.46050654685851e-33
"ENSG00000019549","SNAI2",-0.409286465351062,-12.8600981845304,1.11744776767985e-34,1.09553702713711e-32
"ENSG00000177301","KCNA2",-0.707047282483752,-12.8336793216894,1.4864502805947e-34,1.42927911595644e-32
"ENSG00000081052","COL4A4",-0.7434405704728,-12.7910441985442,2.35387877460372e-34,2.22064035339974e-32
"ENSG00000116132","PRRX1",-0.427416607996142,-12.759348908048,3.31061223994935e-34,3.06538170365681e-32
"ENSG00000145362","ANK2",-0.505663550130034,-12.7486507072137,3.71407003722037e-34,3.37642730656398e-32
"ENSG00000162614","NEXN",-0.482837643103164,-12.7181782052997,5.15169976069823e-34,4.54298914477796e-32
"ENSG00000170390","DCLK2",-0.488953872670661,-12.7176854437979,5.17900762504687e-34,4.54298914477796e-32
"ENSG00000130224","LRCH2",-0.457148756750502,-12.7134792845975,5.41804492460519e-34,4.67072838328034e-32
"ENSG00000185070","FLRT2",-0.576235711788215,-12.7051187958216,5.92625630525387e-34,5.02225110614735e-32
"ENSG00000154736","ADAMTS5",-0.517786621412631,-12.6954781474468,6.57142054774824e-34,5.4761837897902e-32
"ENSG00000203710","CR1",-0.879648476487759,-12.6592783176334,9.68217265201495e-34,7.93620709181554e-32
"ENSG00000276600","RAB7B",-0.556935525115031,-12.6452972955247,1.1243271108803e-33,9.0671541200024e-32
"ENSG00000115363","EVA1A",-0.353380370524902,-12.6415859946418,1.16981663166496e-33,9.28425898146793e-32
"ENSG00000007237","GAS7",-0.638492775569588,-12.6057263075019,1.71544859059794e-33,1.34019421140464e-31
"ENSG00000131459","GFPT2",-0.466741597380067,-12.5959406797286,1.90411381014367e-33,1.46470293087975e-31
"ENSG00000157654","PALM2-AKAP2",-0.63887956247638,-12.5885609245798,2.05992500751918e-33,1.56054924812059e-31
"ENSG00000260314","MRC1",-0.750256712532355,-12.5856693613871,2.1243783415814e-33,1.5853569713294e-31
"ENSG00000058866","DGKG",-0.631397058349595,-12.5625301458435,2.71789256960738e-33,1.99845041882895e-31
"ENSG00000135919","SERPINE2",-0.565838958432984,-12.5536302446686,2.9878035435904e-33,2.16507503158725e-31
"ENSG00000154188","ANGPT1",-0.593724708395683,-12.5262961806283,3.99502720827706e-33,2.85359086305504e-31
"ENSG00000137726","FXYD6",-0.462358983915722,-12.5206727985602,4.24085113292668e-33,2.98651488234273e-31
"ENSG00000144857","BOC",-0.520864713970473,-12.5097780346671,4.76073469010931e-33,3.30606575702036e-31
"ENSG00000075213","SEMA3A",-0.580274388964279,-12.5009523913201,5.22799833378772e-33,3.58082077656693e-31
"ENSG00000029153","ARNTL2",-0.694254168234608,-12.496769495721,5.46512504098865e-33,3.69265205472206e-31
"ENSG00000112320","SOBP",-0.512633477940134,-12.4837072306235,6.27670093609582e-33,4.18446729073055e-31
"ENSG00000198846","TOX",-0.785533188222097,-12.454466108837,8.55435532772365e-33,5.62786534718661e-31
"ENSG00000117600","LPPR4",-0.405162408176911,-12.4412349893683,9.83912113076813e-33,6.38903969530398e-31
"ENSG00000169860","P2RY1",-0.523485698566664,-12.4049987025419,1.44265215976048e-32,9.24777025487489e-31
"ENSG00000091972","CD200",-0.449663898695773,-12.3822559003068,1.8336162037919e-32,1.16051658467842e-30
"ENSG00000105851","PIK3CG",-0.605908208042998,-12.3640790519353,2.2205112206463e-32,1.38781951290394e-30
"ENSG00000079931","MOXD1",-0.568409588610772,-12.3537964543093,2.47429159747014e-32,1.52734049226552e-30
"ENSG00000122188","LAX1",-0.766350291636864,-12.3403465093579,2.85026617398995e-32,1.73796717926217e-30
"ENSG00000006468","ETV1",-0.455591782221463,-12.3177323017861,3.61473417312676e-32,2.17755070670287e-30
"ENSG00000101916","TLR8",-0.663805420903113,-12.2924900795802,4.71093246602556e-32,2.80412646787236e-30
"ENSG00000211956","IGHV4-34",-0.629318888448765,-12.2781533896815,5.47480258299146e-32,3.22047210764203e-30
"ENSG00000103196","CRISPLD2",-0.599350842135617,-12.2641810123888,6.33755338179163e-32,3.68462405918118e-30
"ENSG00000182175","RGMA",-0.635240179605267,-12.243456994361,7.87215156150521e-32,4.52422503534782e-30
"ENSG00000204291","COL15A1",-0.365764526691424,-12.1954245282147,1.29998384693611e-31,7.38627185759151e-30
"ENSG00000143341","HMCN1",-0.524944111035435,-12.1809345068201,1.51195931221293e-31,8.49415343939846e-30
"ENSG00000087116","ADAMTS2",-0.592647827168347,-12.1748426270365,1.61103324289562e-31,8.95018468275343e-30
"ENSG00000152580","IGSF10",-0.657358626327107,-12.1649249462003,1.78632111241919e-31,9.81495116713843e-30
"ENSG00000153823","PID1",-0.571307651282464,-12.1517560070483,2.04870911789137e-31,1.09583712050565e-29
"ENSG00000091490","SEL1L3",-0.688710232989703,-12.1514683360975,2.05484948669074e-31,1.09583712050565e-29
"ENSG00000198774","RASSF9",-0.539429912616542,-12.1512195884886,2.06017378655062e-31,1.09583712050565e-29
"ENSG00000168685","IL7R",-0.757813599468228,-12.1420608429909,2.26606317069252e-31,1.19266482668027e-29
"ENSG00000170961","HAS2",-0.498774768091343,-12.1338401314372,2.46822632626253e-31,1.2855345449284e-29
"ENSG00000115232","ITGA4",-0.60381390180324,-12.1171287712699,2.93613619893723e-31,1.51347226749342e-29
"ENSG00000197635","DPP4",-0.52989667934866,-12.0758484610187,4.50505370293559e-31,2.29849678721204e-29
