"Ensembl_ID","Gene_Symbol","ENTREZID","logFC","t","adj.P.Val"
"ENSG00000129514","FOXA1","3169",-1.11703757504222,-43.0111263497902,8.7040393453126e-211
"ENSG00000115648","MLPH","79083",-1.33541323022468,-41.2523159194052,9.55478148946872e-201
"ENSG00000124664","SPDEF","25803",-1.1165694773998,-36.508551666517,2.63780144427362e-172
"ENSG00000168350","DEGS2","123099",-1.61457689559852,-33.7051427336724,4.25694773382793e-155
"ENSG00000160180","TFF3","7033",-1.7667937723501,-32.5648589384995,4.46865623768381e-148
"ENSG00000139865","TTC6","319089",-1.28244347306786,-32.4199039583916,3.00682885676784e-147
"ENSG00000106541","AGR2","10551",-1.09587451563543,-32.3798209140901,4.59281950542931e-147
"ENSG00000176532","PRR15","222171",-1.28328402062397,-32.2478015522838,2.69628470519e-146
"ENSG00000107485","GATA3","2625",-1.20214562710829,-31.5763641603262,3.88539700554514e-142
"ENSG00000169083","AR","367",-1.5512731813798,-31.5574459704967,4.59635884973215e-142
"ENSG00000074410","CA12","771",-1.33116117576645,-30.9029657365321,5.39849179705086e-138
"ENSG00000204385","SLC44A4","80736",-1.23082660989779,-30.7363867435829,5.51913928540828e-137
"ENSG00000091831","ESR1","2099",-2.23556999345283,-29.7823194318201,5.1487402603954e-131
"ENSG00000230882","AC005077.14",NA,-1.35882609654819,-29.5785162413261,9.18589287143804e-130
"ENSG00000245750","DRAIC","145837",-1.40905378893388,-29.1410276527698,4.88848904601741e-127
"ENSG00000173467","AGR3","155465",-1.31958326120924,-28.6390656343979,6.66318759889255e-124
"ENSG00000160182","TFF1","7031",-1.57853063996967,-28.1098905030262,1.35130099619841e-120
"ENSG00000183888","C1orf64","149563",-1.95625162499377,-28.041878826242,3.4217471817126e-120
"ENSG00000169347","GP2","2813",-1.51137090603027,-27.5219554277632,6.07955561967255e-117
"ENSG00000072858","SIDT1","54847",-1.50221271474273,-27.4966914588226,8.32863437613522e-117
"ENSG00000187486","KCNJ11","3767",-1.14387937325362,-27.0193823206358,7.96923002067325e-114
"ENSG00000165140","FBP1","2203",-1.01083912660421,-27.0083151832512,8.92855420836344e-114
"ENSG00000006071","ABCC8","6833",-1.45999765330496,-26.8899367389534,4.73675873432083e-113
"ENSG00000223813","AC007255.8",NA,-1.40555803287221,-26.8817870175603,5.1075206998984e-113
"ENSG00000172425","TTC36","143941",-1.88727879541368,-26.7731966562129,2.35910093520155e-112
"ENSG00000143412","ANXA9","8416",-1.73599479220765,-26.2960076281923,2.24488216513945e-109
"ENSG00000173890","GPR160","26996",-1.01831128239649,-25.9899492877581,1.79231240447418e-107
"ENSG00000064787","BCAS1","8537",-1.24287981012963,-25.527825849873,1.34882823648723e-104
"ENSG00000154548","SRSF12","135295",1.52343293188287,25.3861283241223,1.00075977111283e-103
"ENSG00000115255","REEP6","92840",-1.63680475567593,-25.3489431231118,1.65162337326308e-103
"ENSG00000167861","HID1","283987",-0.931215795422667,-25.2728672331018,4.77304384442262e-103
"ENSG00000134830","C5AR2","27202",-1.58417167431971,-25.1873686483727,1.58035061428362e-102
"ENSG00000187720","THSD4","79875",-1.28093835097131,-25.1584460684467,2.32215073022494e-102
"ENSG00000168589","DYNLRB2","83657",-1.12087387494419,-25.052960491218,1.0256508877596e-101
"ENSG00000004838","ZMYND10","51364",-1.55913235487515,-24.9099862035244,7.75766244370195e-101
"ENSG00000172602","RND1","27289",-1.14656967311642,-24.8714879184838,1.31030575041468e-100
"ENSG00000163879","DNALI1","7802",-1.58314459003572,-24.7060407037232,1.36681952810603e-99
"ENSG00000178568","ERBB4","2066",-1.29052304777349,-24.548718498561,1.2670162770968e-98
