"gene_id","gene_symbol","logFC","t","P.Value","adj.P.Val"
"ENSG00000129514","FOXA1",-1.11703757504222,-43.0111263497902,1.74080786906252e-214,8.7040393453126e-211
"ENSG00000115648","MLPH",-1.33541323022468,-41.2523159194052,3.82191259578749e-204,9.55478148946872e-201
"ENSG00000124664","SPDEF",-1.1165694773998,-36.508551666517,1.58268086656417e-175,2.63780144427362e-172
"ENSG00000168350","DEGS2",-1.61457689559852,-33.7051427336724,3.40555818706235e-158,4.25694773382793e-155
"ENSG00000160180","TFF3",-1.7667937723501,-32.5648589384995,4.46865623768381e-151,4.46865623768381e-148
"ENSG00000139865","TTC6",-1.28244347306786,-32.4199039583916,3.60819462812141e-150,3.00682885676784e-147
"ENSG00000106541","AGR2",-1.09587451563543,-32.3798209140901,6.42994730760103e-150,4.59281950542931e-147
"ENSG00000176532","PRR15",-1.28328402062397,-32.2478015522838,4.314055528304e-149,2.69628470519e-146
"ENSG00000107485","GATA3",-1.20214562710829,-31.5763641603262,6.99371460998124e-145,3.88539700554514e-142
"ENSG00000169083","AR",-1.5512731813798,-31.5574459704967,9.19271769946429e-145,4.59635884973215e-142
"ENSG00000074410","CA12",-1.33116117576645,-30.9029657365321,1.18766819535119e-140,5.39849179705086e-138
"ENSG00000204385","SLC44A4",-1.23082660989779,-30.7363867435829,1.32459342849799e-139,5.51913928540828e-137
"ENSG00000091831","ESR1",-2.23556999345283,-29.7823194318201,1.3386724677028e-133,5.1487402603954e-131
"ENSG00000230882","AC005077.14",-1.35882609654819,-29.5785162413261,2.57205000400265e-132,9.18589287143804e-130
"ENSG00000245750","DRAIC",-1.40905378893388,-29.1410276527698,1.46654671380522e-129,4.88848904601741e-127
"ENSG00000173467","AGR3",-1.31958326120924,-28.6390656343979,2.13222003164562e-126,6.66318759889255e-124
"ENSG00000160182","TFF1",-1.57853063996967,-28.1098905030262,4.59442338707458e-123,1.35130099619841e-120
"ENSG00000183888","C1orf64",-1.95625162499377,-28.041878826242,1.23182898541654e-122,3.4217471817126e-120
"ENSG00000169347","GP2",-1.51137090603027,-27.5219554277632,2.31023113547557e-119,6.07955561967255e-117
"ENSG00000072858","SIDT1",-1.50221271474273,-27.4966914588226,3.33145375045409e-119,8.32863437613522e-117
"ENSG00000187486","KCNJ11",-1.14387937325362,-27.0193823206358,3.34707660868277e-116,7.96923002067325e-114
"ENSG00000165140","FBP1",-1.01083912660421,-27.0083151832512,3.92856385167992e-116,8.92855420836344e-114
"ENSG00000006071","ABCC8",-1.45999765330496,-26.8899367389534,2.17890901778758e-115,4.73675873432083e-113
"ENSG00000223813","AC007255.8",-1.40555803287221,-26.8817870175603,2.45160993595123e-115,5.1075206998984e-113
"ENSG00000172425","TTC36",-1.88727879541368,-26.7731966562129,1.17955046760077e-114,2.35910093520155e-112
"ENSG00000143412","ANXA9",-1.73599479220765,-26.2960076281923,1.16733872587251e-111,2.24488216513945e-109
"ENSG00000173890","GPR160",-1.01831128239649,-25.9899492877581,9.67848698416058e-110,1.79231240447418e-107
"ENSG00000064787","BCAS1",-1.24287981012963,-25.527825849873,7.5534381243285e-107,1.34882823648723e-104
"ENSG00000154548","SRSF12",1.52343293188287,25.3861283241223,5.80440667245442e-106,1.00075977111283e-103
"ENSG00000115255","REEP6",-1.63680475567593,-25.3489431231118,9.90974023957845e-106,1.65162337326308e-103
"ENSG00000167861","HID1",-0.931215795422667,-25.2728672331018,2.95928718354202e-105,4.77304384442262e-103
"ENSG00000134830","C5AR2",-1.58417167431971,-25.1873686483727,1.01142439314152e-104,1.58035061428362e-102
"ENSG00000187720","THSD4",-1.28093835097131,-25.1584460684467,1.53261948194846e-104,2.32215073022494e-102
"ENSG00000168589","DYNLRB2",-1.12087387494419,-25.052960491218,6.97442603676527e-104,1.0256508877596e-101
"ENSG00000004838","ZMYND10",-1.55913235487515,-24.9099862035244,5.43036371059137e-103,7.75766244370195e-101
"ENSG00000172602","RND1",-1.14656967311642,-24.8714879184838,9.43420140298571e-103,1.31030575041468e-100
"ENSG00000163879","DNALI1",-1.58314459003572,-24.7060407037232,1.01144645079846e-101,1.36681952810603e-99
"ENSG00000178568","ERBB4",-1.29052304777349,-24.548718498561,9.62932370593566e-101,1.2670162770968e-98
"ENSG00000111057","KRT18",-0.519128590745801,-24.531247685258,1.23655889937105e-100,1.58533192227058e-98
"ENSG00000259459","RP11-321G12.1",-1.49073376629432,-24.4884447567529,2.28178577651791e-100,2.85223222064738e-98
"ENSG00000188959","C9orf152",-0.875574909840458,-24.4865900583206,2.34315940278447e-100,2.85751146681033e-98
"ENSG00000163064","EN1",0.915362328132788,24.3140976988405,2.76190672783336e-99,3.28798419980161e-97
"ENSG00000120262","CCDC170",-1.47126821603183,-24.2565746283409,6.28375038056216e-99,7.30668648902577e-97
"ENSG00000248429","RP11-597D13.9",-1.40440284326492,-24.0697447191513,9.05182122102401e-98,1.02861604784364e-95
"ENSG00000154645","CHODL",1.36108944343415,23.9496408776483,5.01926504286808e-97,5.57696115874231e-95
"ENSG00000117472","TSPAN1",-1.06668667906304,-23.9395003568357,5.79986156998603e-97,6.30419735868046e-95
"ENSG00000162949","CAPN13",-0.880575854261036,-23.6027277609927,7.00516804964456e-95,7.45230643579209e-93
"ENSG00000165548","TMEM63C",-1.0149130231705,-23.5164735329016,2.38632982532484e-94,2.48576023471337e-92
"ENSG00000147041","SYTL5",-1.45463100554778,-23.4241805765096,8.84855582678062e-94,9.02913859875574e-92
"ENSG00000188763","FZD9",1.63056796937287,23.2910053360391,5.85202088145904e-93,5.85202088145904e-91
"ENSG00000135069","PSAT1",1.47255926004929,23.1810530144062,2.77924804924349e-92,2.72475298945441e-90
"ENSG00000225449","RAB6C-AS1",-1.55726536714257,-23.0496083524656,1.78606454509874e-91,1.71736975490264e-89
"ENSG00000182175","RGMA",0.987631909289377,23.0328195863268,2.26476054931521e-91,2.13656655595774e-89
"ENSG00000005513","SOX8",1.12848546718471,22.8456320577656,3.18918019407047e-90,2.95294462413933e-88
"ENSG00000119866","BCL11A",1.4211789174183,22.7574376413889,1.10695931772675e-89,1.00632665247886e-87
"ENSG00000251169","AC005355.2",-1.40122052822076,-22.7049580425758,2.32003093739034e-89,2.07145619409851e-87
"ENSG00000118513","MYB",-0.814050843207147,-22.6949646172226,2.6709722973072e-89,2.34295815553263e-87
"ENSG00000136944","LMX1B",-0.724409971030064,-22.6559966105293,4.62545599991238e-89,3.98746206888998e-87
"ENSG00000185133","INPP5J",-1.05878244150339,-22.6048586012713,9.50544715393204e-89,8.05546368977291e-87
"ENSG00000158258","CLSTN2",-1.39272163753541,-22.5990691508867,1.03128034541317e-88,8.59400287844309e-87
"ENSG00000162482","AKR7A3",-1.67274082816235,-22.4633627745413,6.9603720982953e-88,5.70522303138959e-86
"ENSG00000203697","CAPN8",-1.18335990670059,-22.4310006468464,1.09699913077665e-87,8.8467671836827e-86
"ENSG00000186868","MAPT",-1.29664940331305,-22.4082620609322,1.5100295345849e-87,1.19843613855944e-85
"ENSG00000164626","KCNK5",1.02828913608701,22.4026806018673,1.63322164717567e-87,1.27595441185599e-85
"ENSG00000111319","SCNN1A",-0.804194649513393,-22.2807960282146,9.04256200456582e-87,6.9558169265891e-85
"ENSG00000198729","PPP1R14C",1.21072644463678,22.1463037658865,5.9597072485338e-86,4.51492973373772e-84
"ENSG00000234899","SOX9-AS1",1.09267280553561,22.1155528646227,9.16832838057513e-86,6.84203610490681e-84
"ENSG00000124249","KCNK15",-1.22012227220987,-22.1138384999575,9.39111314636933e-86,6.90523025468333e-84
"ENSG00000164106","SCRG1",1.1102146414124,22.1070219647327,1.03317466022933e-85,7.48677290021254e-84
"ENSG00000106537","TSPAN13",-0.864211874886919,-22.080979653174,1.48773885806033e-85,1.06267061290023e-83
"ENSG00000108176","DNAJC12",-1.42991381594605,-21.9843426298667,5.75055316226306e-85,4.04968532553737e-83
"ENSG00000075275","CELSR1",-0.761376093385689,-21.9459009273095,9.84233860867887e-85,6.8349573671381e-83
"ENSG00000256612","CYP2B7P",-2.19483882593576,-21.8957532813935,1.98331817147899e-84,1.35843710375273e-82
"ENSG00000167614","TTYH1",1.10737184799385,21.8634459986601,3.11410050131735e-84,2.10412196034956e-82
"ENSG00000175356","SCUBE2",-1.76429410088571,-21.8051542122633,7.02534623707614e-84,4.68356415805076e-82
"ENSG00000162543","UBXN10",-1.24443360668702,-21.803969594815,7.14242384450115e-84,4.69896305559286e-82
"ENSG00000120149","MSX2",-0.99388855363886,-21.7602185311729,1.31482881577467e-83,8.53784945308229e-82
"ENSG00000156219","ART3",1.56608167610257,21.714373298808,2.49127254168854e-83,1.59696957800547e-81
"ENSG00000007402","CACNA2D2",-1.347274789467,-21.6934129465601,3.3362883862432e-83,2.11157492800203e-81
"ENSG00000174607","UGT8",1.12907134991492,21.6137604094997,1.01151537914322e-82,6.32197111964515e-81
"ENSG00000213145","CRIP1",-1.21970705723154,-21.5937016137274,1.33721839385108e-82,8.25443452994491e-81
"ENSG00000081985","IL12RB2",1.65655896474591,21.5197985881364,3.73746599510856e-82,2.27894267994425e-80
"ENSG00000163072","NOSTRIN",-1.19343008863885,-21.5022539730516,4.76961122468255e-82,2.87325977390515e-80
"ENSG00000196917","HCAR1",-0.90506648457386,-21.4988752494554,4.9989105306397e-82,2.97554198252363e-80
"ENSG00000094755","GABRP",1.35379935518009,21.4552880561315,9.15935319610811e-82,5.38785482124007e-80
"ENSG00000187244","BCAM",-0.915746254836008,-21.431069918754,1.28210035943294e-81,7.45407185716828e-80
"ENSG00000041353","RAB27B",-0.728611452400879,-21.4216933721259,1.46035444643835e-81,8.39284164619744e-80
"ENSG00000114547","ROPN1B",1.47019013215065,21.3951375802012,2.11124490392765e-81,1.19957096814071e-79
"ENSG00000144681","STAC",1.11966634899523,21.3788351587065,2.64717295141947e-81,1.4871758154042e-79
"ENSG00000142973","CYP4B1",-0.979883649030689,-21.3599308483917,3.44095160825625e-81,1.91163978236458e-79
"ENSG00000183044","ABAT",-1.39738242823933,-21.3465659427142,4.14173988937659e-81,2.27568125789922e-79
"ENSG00000276644","DACH1",-1.49581713187703,-21.2357673770193,1.92315268984584e-80,1.04519167926404e-78
"ENSG00000117013","KCNQ4",1.26746730779315,21.0165174688844,3.98554316928579e-79,2.14276514477731e-77
"ENSG00000134215","VAV3",-1.02466500178288,-21.0071034686613,4.53858490666293e-79,2.41414090779943e-77
"ENSG00000204531","POU5F1",1.04212317938515,20.999662268939,5.02946536153726e-79,2.64708703238803e-77
"ENSG00000196208","GREB1",-1.25121609193587,-20.9872224538966,5.97135980771328e-79,3.110083233184e-77
"ENSG00000050438","SLC4A8",-1.25378009280594,-20.9780651957384,6.77553698909614e-79,3.49254483974028e-77
"ENSG00000101222","SPEF1",-1.00467002237137,-20.9638191595259,8.24691658179119e-79,4.20761050091387e-77
"ENSG00000085831","TTC39A",-0.877543858419342,-20.9352496802527,1.22291748726929e-78,6.17635094580449e-77
"ENSG00000124839","RAB17",-0.719040597857991,-20.7573933698665,1.41565400310843e-77,7.07827001554217e-76
"ENSG00000166106","ADAMTS15",-1.21202028889372,-20.7460080542158,1.65555098019955e-77,8.19579693168095e-76
"ENSG00000163364","LINC01116",-0.830861678653541,-20.7003633329525,3.10015091310232e-77,1.5196818201482e-75
"ENSG00000099812","MISP",-0.780414825250117,-20.6596026543341,5.42637028724336e-77,2.63416033361328e-75
"ENSG00000148671","ADIRF",-0.867783590019117,-20.5852956539968,1.5042967089689e-76,7.23219571619665e-75
"ENSG00000144218","AFF3",-1.56678972696591,-20.5600607726843,2.12618106711836e-76,1.01246717481827e-74
"ENSG00000178796","RIIAD1",-1.16005831850444,-20.5162145484006,3.87747853016443e-76,1.82899930668134e-74
"ENSG00000111728","ST8SIA1",1.09195455753292,20.4385129848314,1.12340899902909e-75,5.2495747618182e-74
"ENSG00000081923","ATP8B1",-0.712305800388728,-20.3953170763215,2.02822495105606e-75,9.38993032896324e-74
"ENSG00000102243","VGLL1",1.33669190179811,20.3920742508203,2.12017062985881e-75,9.72555334797619e-74
"ENSG00000249684","RP11-423H2.3",-0.989019978892646,-20.3824806944431,2.41728477433888e-75,1.09876580651767e-73
"ENSG00000136928","GABBR2",1.3759478449311,20.3091356184818,6.58387626318866e-75,2.96571002846336e-73
"ENSG00000281406","BLACAT1",1.26037105756406,20.2721995172927,1.0899902004756e-74,4.86602768069465e-73
"ENSG00000185924","RTN4RL1",-0.992489199153985,-20.2458732496692,1.56095670986517e-74,6.90688809674853e-73
"ENSG00000068615","REEP1",-0.994270761903313,-20.2281897490116,1.98663010251754e-74,8.71328992332256e-73
"ENSG00000147642","SYBU",-1.01415207101418,-20.1700918298561,4.38498376910015e-74,1.90651468221746e-72
"ENSG00000162078","ZG16B",-0.704202484549389,-19.9399678850504,1.00135678334748e-72,4.31619303167016e-71
"ENSG00000151892","GFRA1",-1.5770232390783,-19.9245061704671,1.23502913136304e-72,5.27790227078222e-71
"ENSG00000174788","PCP2",-0.848047602681901,-19.8926970167795,1.9010492430845e-72,8.05529340290044e-71
"ENSG00000134755","DSC2",0.849069970350167,19.8264805109765,4.66213423594427e-72,1.95887993106902e-70
"ENSG00000143452","HORMAD1",1.50446819952977,19.7355011407111,1.59629134718553e-71,6.65121394660638e-70
"ENSG00000133328","HRASLS2",-0.893648684428536,-19.6881989311496,3.02464365278975e-71,1.24985274908667e-69
"ENSG00000104783","KCNN4",0.992553507322282,19.6762594188608,3.55381828079781e-71,1.45648290196631e-69
"ENSG00000133019","CHRM3",1.10916944194485,19.5703331417531,1.48332080341384e-70,6.02975936347091e-69
"ENSG00000168907","PLA2G4F",-0.632375399767661,-19.5410809121878,2.19980502649512e-70,8.87018155844805e-69
"ENSG00000089101","CFAP61",-0.883887703805797,-19.5108967632586,3.30283208497807e-70,1.32113283399123e-68
"ENSG00000274173","RP4-568C11.4",-0.371768163061017,-19.4805389222402,4.96938111825747e-70,1.97197663422916e-68
"ENSG00000118307","CASC1",-0.965056411379853,-19.4658120144922,6.05803161116587e-70,2.38505181541963e-68
"ENSG00000163661","PTX3",1.1515694978974,19.423623886677,1.06818052952585e-69,4.17258019346037e-68
"ENSG00000166959","MS4A8",-1.28777521627432,-19.3973564202606,1.52021381418081e-69,5.89230160535199e-68
"ENSG00000167646","DNAAF3",-1.07179696217226,-19.2786666886201,7.47195221328766e-69,2.87382777434141e-67
"ENSG00000103534","TMC5",-1.07280856125316,-19.2318836130753,1.39818767161154e-68,5.33659416645628e-67
"ENSG00000160188","RSPH1",-0.859396451693103,-19.1849824308094,2.61896297056402e-68,9.92031428243948e-67
"ENSG00000167183","PRR15L",-0.427550419834918,-19.1366147031216,4.99973808654691e-68,1.87960078441613e-66
"ENSG00000104332","SFRP1",1.20365666963896,19.1161076522706,6.57546056122104e-68,2.45353006015711e-66
"ENSG00000110169","HPX",-1.27487721547053,-19.0972198807793,8.46187200087054e-68,3.13402666698909e-66
"ENSG00000186832","KRT16",0.905678404923139,19.0382343512888,1.85901635440005e-67,6.83461895000019e-66
"ENSG00000186007","LEMD1",1.30338878480752,19.0100732500152,2.70600582168217e-67,9.87593365577434e-66
"ENSG00000168993","CPLX1",-0.869246687772441,-18.9723415924364,4.47338760219677e-67,1.62079260949158e-65
"ENSG00000185634","SHC4",1.21744151227087,18.9683947062488,4.71479208538517e-67,1.69596837603783e-65
"ENSG00000170743","SYT9",-1.44755016428013,-18.9622156083948,5.11910857004105e-67,1.82825306072895e-65
"ENSG00000163694","RBM47",-0.516004477828566,-18.9339910291093,7.45331951570865e-67,2.64302110486122e-65
"ENSG00000197594","ENPP1",-0.814721829221201,-18.9302565236683,7.83303858968033e-67,2.7581121794649e-65
"ENSG00000174502","SLC26A9",1.14595840109352,18.8975111792531,1.21082924394183e-66,4.23366868511128e-65
"ENSG00000203760","CENPW",0.851724490413608,18.8457256580383,2.40965208992446e-66,8.36684753445992e-65
"ENSG00000104044","OCA2",1.37185880627607,18.8181782627771,3.47380843625219e-66,1.197864978018e-64
"ENSG00000260807","RP11-161M6.2",0.904605834169606,18.8043873328081,4.17153585717564e-66,1.42860817026563e-64
"ENSG00000187045","TMPRSS6",-1.34062707771726,-18.7863393709862,5.300147877056e-66,1.80277138675374e-64
"ENSG00000179023","KLHDC7A",-1.21342838106472,-18.7410429941942,9.66289956076e-66,3.26449309485135e-64
"ENSG00000170500","LONRF2",-0.990245428017245,-18.7400321175304,9.79321426407682e-66,3.28631351143518e-64
"ENSG00000227036","LINC00511",0.756705334590749,18.6705074961658,2.4589359905341e-65,8.19645330178034e-64
"ENSG00000167964","RAB26",-0.845004280017655,-18.6575627367308,2.91825404861404e-65,9.66309287620543e-64
"ENSG00000082175","PGR",-1.50172620433261,-18.649941848615,3.22775152515875e-65,1.06176037011801e-63
"ENSG00000172771","EFCAB12",-1.17442270167255,-18.6140199248099,5.1897855028925e-65,1.69600833427859e-63
"ENSG00000166535","A2ML1",1.12700994959002,18.6084178745991,5.58855396978766e-65,1.81446557460638e-63
"ENSG00000278621","CTD-2033D15.3",-1.15977931478603,-18.5820751751113,7.91455139430755e-65,2.55308109493792e-63
"ENSG00000117115","PADI2",0.994765985438437,18.5262378202621,1.65375347600608e-64,5.30049191027591e-63
"ENSG00000196196","HRCT1",1.06598819215168,18.5053115135341,2.1792747371175e-64,6.9403654048328e-63
"ENSG00000109846","CRYAB",0.735662417526667,18.5026648833263,2.25665287824979e-64,7.14130657673985e-63
"ENSG00000168306","ACOX2",-1.3058471651276,-18.4940643356539,2.52754758473362e-64,7.94826284507429e-63
"ENSG00000158220","ESYT3",0.96650335457427,18.476036319386,3.20532007319512e-64,1.00166252287347e-62
"ENSG00000261857","MIA",1.34202816500526,18.4427152694572,4.97110816070606e-64,1.54382241015716e-62
"ENSG00000118242","MREG",-0.674037600222177,-18.4146794294697,7.18943208444876e-64,2.21896051989159e-62
"ENSG00000267795","SMIM22",-0.515663597324189,-18.3709952351567,1.27694373614755e-63,3.91700532560598e-62
"ENSG00000134533","RERG",-0.809072471124771,-18.3694660039948,1.30286847326191e-63,3.97215997945704e-62
"ENSG00000215217","C5orf49",-0.741112341212141,-18.3450956415165,1.79458764202241e-63,5.43814436976489e-62
"ENSG00000046653","GPM6B",0.67687955754964,18.3421700530688,1.86489190294831e-63,5.61714428598888e-62
"ENSG00000167608","TMC4",-0.649493471446298,-18.2620993663445,5.33308344502091e-63,1.59673157036554e-61
"ENSG00000275216","RP11-54H7.4",1.05977017330393,18.260531864949,5.44381233044369e-63,1.62018224120348e-61
"ENSG00000103528","SYT17",-1.15597871176851,-18.2494072944405,6.29843872953599e-63,1.86344341110532e-61
"ENSG00000165731","RET",-1.41869725594222,-18.195594320549,1.27451741163211e-62,3.73881048246676e-61
"ENSG00000003989","SLC7A2",-1.39181475126659,-18.1953456270268,1.27867318500363e-62,3.73881048246676e-61
"ENSG00000165105","RASEF",-0.521911721075851,-18.189867900054,1.37371772171366e-62,3.99336547009784e-61
"ENSG00000073792","IGF2BP2",1.04720484410496,18.1772715339475,1.61989116012311e-62,4.68176635873732e-61
"ENSG00000166780","C16orf45",-1.11192920506958,-18.0860117253798,5.33949386396528e-62,1.5343373172314e-60
