"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","17/414","36/1876",0.472222222222222,2.13982823403113,3.67374382916079,0.000652201280888873,0.155876106132441,0.154468724421049,"2099/7031/3875/9687/9568/3868/399694/5241/3760/90993/7039/107/25984/5443/25759/3872/111",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","23/414","65/1876",0.353846153846154,1.6034188034188,2.63416765508014,0.00869703173559884,0.755081134909619,0.748263621909994,"2099/7433/5618/7066/10411/2696/117247/150/9630/1733/185/107/5443/111/6751/152/10267/658/1394/885/6752/4880/7434",23
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","14/414","35/1876",0.4,1.81256038647343,2.58160559847953,0.012077220371677,0.755081134909619,0.748263621909994,"8326/399694/7475/1029/7039/10912/4233/119391/1728/2938/25759/8110/2949/2939",14
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","19/414","53/1876",0.358490566037736,1.62446449731109,2.4534627758647,0.014211290487784,0.755081134909619,0.748263621909994,"367/2099/5241/7366/776/90993/688/993/107/7364/119391/2938/8817/2255/111/2949/10683/2254/2939",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","38/414","128/1876",0.296875,1.34525966183575,2.15281758271973,0.0229998820687431,0.755081134909619,0.748263621909994,"2568/9568/1131/2899/51083/7433/5618/2696/5646/2900/130576/150/5733/2914/185/5029/130574/1138/5443/136/1128/2151/6751/2564/152/10874/1394/6863/5737/57152/2358/2890/885/6752/5026/80763/7434/4886",38
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","18/414","52/1876",0.346153846153846,1.5685618729097,2.2120457666055,0.0244213194047092,0.755081134909619,0.748263621909994,"27289/56963/22885/2047/2049/10512/7869/4776/2051/4233/90249/2042/6092/816/658/9723/3897/56896",18
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","9/414","21/1876",0.428571428571429,1.94202898550725,2.30955908171691,0.0260952410615826,0.755081134909619,0.748263621909994,"776/1589/90993/8912/185/107/5443/1586/111",9
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","9/414","21/1876",0.428571428571429,1.94202898550725,2.30955908171691,0.0260952410615826,0.755081134909619,0.748263621909994,"7366/6799/27306/7364/119391/2938/5743/2949/2939",9
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","6/414","12/1876",0.5,2.26570048309179,2.34005322240157,0.0304344787264032,0.755081134909619,0.748263621909994,"2099/399694/2001/5618/25759/1586",6
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","10/414","25/1876",0.4,1.81256038647343,2.17595325433663,0.0322474421723362,0.755081134909619,0.748263621909994,"399694/776/3483/90993/107/25759/111/6751/112609/6752",10
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","14/414","40/1876",0.35,1.58599033816425,1.99301805443117,0.0407374937214157,0.755081134909619,0.748263621909994,"8326/776/7475/1589/1029/90993/8912/185/107/5443/1586/111/816/1394",14
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","25/414","82/1876",0.304878048780488,1.38152468481207,1.87951358606863,0.0441089200197388,0.755081134909619,0.748263621909994,"27198/10451/9568/776/2737/10411/2696/90993/5733/1259/2867/107/5443/1128/111/6751/477/64208/816/1394/489/2890/6752/7434/4886",25
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","25/414","82/1876",0.304878048780488,1.38152468481207,1.87951358606863,0.0441089200197388,0.755081134909619,0.748263621909994,"3875/3868/11240/196374/3854/126410/26154/1828/25984/5317/9333/3853/286887/3872/1287/6271/6273/1286/3852/6279/6700/1830/6280/1288/1285",25
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","6/414","13/1876",0.461538461538462,2.09141583054627,2.10078988529281,0.04626066892281,0.755081134909619,0.748263621909994,"5979/1029/3800/7039/10912/4233",6
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","12/414","34/1876",0.352941176470588,1.59931798806479,1.87619977168145,0.0528440600589631,0.755081134909619,0.748263621909994,"2099/8326/399694/5241/7475/10912/25759/8817/2255/10683/2254/3815",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","23/414","76/1876",0.302631578947368,1.37134502923977,1.75822835141832,0.0564457998042924,0.755081134909619,0.748263621909994,"2568/9568/1131/2899/2900/150/2914/5029/107/6538/6571/5443/136/6506/1128/111/2564/152/6863/6505/2890/6511/5026",23
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","14/414","42/1876",0.333333333333333,1.51046698872786,1.77999901447361,0.0602655772657043,0.755081134909619,0.748263621909994,"9254/255189/776/27092/3760/4776/107/6261/5743/3761/111/6263/816/952",14
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","12/414","35/1876",0.342857142857143,1.5536231884058,1.75892985484991,0.0649870289749262,0.755081134909619,0.748263621909994,"255189/399694/2206/4254/10411/2914/185/107/25759/111/5737/3815",12
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","12/414","35/1876",0.342857142857143,1.5536231884058,1.75892985484991,0.0649870289749262,0.755081134909619,0.748263621909994,"3767/6833/3783/1131/776/90993/107/3778/111/477/816/885",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","31/414","109/1876",0.284403669724771,1.28874706377698,1.65249316235831,0.065347466656242,0.755081134909619,0.748263621909994,"3875/8326/9620/2568/10451/1824/79838/3868/147798/1001/7475/5100/196374/28513/3854/4233/1828/25984/1825/5317/3853/286887/3872/57526/2564/57216/3852/2196/1830/6327/64881",31
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","6/414","14/1876",0.428571428571429,1.94202898550725,1.88219911857536,0.0663460411426862,0.755081134909619,0.748263621909994,"5979/8140/27165/4233/2261/3815",6
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","13/414","40/1876",0.325,1.47270531400966,1.60772313789027,0.0824188002333009,0.886091189532405,0.878090806627576,"255189/2899/776/3760/2900/27165/2914/107/6506/111/6505/2890/6511",13
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","10/414","29/1876",0.344827586206897,1.56255205730468,1.62425939990124,0.0852723738880557,0.886091189532405,0.878090806627576,"10912/597/2919/115650/5743/128178/2921/60401/5588/2920",10
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","36/414","134/1876",0.26865671641791,1.21739130434783,1.38930504394832,0.101674206322572,0.990841852819154,0.98189569206919,"367/2099/8326/3595/5979/7475/2737/4254/1029/7039/5733/10912/185/107/4233/119391/1728/2938/7704/890/5743/650/8817/2255/1287/111/1286/816/2949/10683/2254/2261/3815/2939/1288/1285",36
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","7/414","19/1876",0.368421052631579,1.66946351385711,1.56036026223775,0.10364454527397,0.990841852819154,0.98189569206919,"2099/399694/1029/107/25759/111/10683",7
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","6/414","16/1876",0.375,1.69927536231884,1.49444131837245,0.119317127350374,0.999958636784323,0.990930161975215,"255189/107/5743/1586/111/3294",6
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","11/414","35/1876",0.314285714285714,1.42415458937198,1.34759198303509,0.128219103980353,0.999958636784323,0.990930161975215,"5596/6374/8061/2919/5743/2921/3934/6279/6372/6280/2920",11
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","11/414","35/1876",0.314285714285714,1.42415458937198,1.34759198303509,0.128219103980353,0.999958636784323,0.990930161975215,"3783/1131/1470/362/107/3778/111/477/6263/55503/952",11
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","12/414","39/1876",0.307692307692308,1.39427722036418,1.32375170283459,0.130774818453402,0.999958636784323,0.990930161975215,"9630/338382/107/2919/7850/6317/2921/1287/1286/1288/1285/2920",12
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","13/414","43/1876",0.302325581395349,1.36995843163689,1.30566885664862,0.132535404541411,0.999958636784323,0.990930161975215,"5874/1131/1359/5646/8399/107/1360/3778/111/477/489/952/885",13
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","27/414","100/1876",0.27,1.22347826086957,1.22191479286992,0.136723995598838,0.999958636784323,0.990930161975215,"2066/1131/5979/776/4776/8912/7039/5733/9630/185/107/4233/3270/136/6261/8817/1128/2255/6263/844/816/2254/5737/2261/489/952/5026",27
