"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","4/87","20/1876",0.2,4.31264367816092,3.28364219550954,0.0118235461205008,0.758133004149719,0.758133004149719,"3760/8912/610/2852",4
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","3/87","11/1876",0.272727272727273,5.88087774294671,3.5793976289468,0.0121301280663955,0.758133004149719,0.758133004149719,"6489/2651/2525",3
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","5/87","36/1876",0.138888888888889,2.99489144316731,2.66450597476388,0.0231201445845719,0.941497187066983,0.941497187066983,"2099/3760/25984/2852/2775",5
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","7/87","82/1876",0.0853658536585366,1.84076254555649,1.71642232768202,0.0816360452122869,0.941497187066983,0.941497187066983,"11240/25984/6271/6280/3855/6278/55304",7
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","3/87","23/1876",0.130434782608696,2.81259370314843,1.92833181827853,0.0873581822770245,0.941497187066983,0.941497187066983,"55503/6523/6543",3
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","4/87","37/1876",0.108108108108108,2.33115874495185,1.80299672991454,0.0889214505455403,0.941497187066983,0.941497187066983,"3760/8912/2775/2905",4
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","2/87","11/1876",0.181818181818182,3.92058516196447,2.14181468056226,0.0890990580665276,0.941497187066983,0.941497187066983,"55512/55304",2
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","3/87","24/1876",0.125,2.69540229885057,1.84294760938503,0.0966216535306844,0.941497187066983,0.941497187066983,"10815/10814/6616",3
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","4/87","41/1876",0.0975609756097561,2.10372862349313,1.57540163397543,0.118825134386533,0.941497187066983,0.941497187066983,"7802/116442/3084/2905",4
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","2/87","13/1876",0.153846153846154,3.31741821396994,1.84852256665883,0.119088213452101,0.941497187066983,0.941497187066983,"6518/6523",2
