"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3.73380651944827e-12,1.79222712933517e-10,0.887074988399873,-0.561364771695412,-1.90094319550944,121,"11167/4015/7412/2199/9353/1462/25878/2619/6591/5396/5270/3908/1490/26585/1009/1292/2200/4638/7058/1634/8038/6422/5806/1293/10516/3624/115908/1290/1281/1842/25890/7070/284217/10631/4313/4060/1289/4314/26577/633/3569/2669/6444/1000/2191/4837/1278/5329/1277/6586/6387/6876/3690/2192/1296/5054/3371/5999/2201/6382/3486/59/131578/1307/6424/2919/8076/2335/50509/3491/6695/2303"
"HALLMARK_ALLOGRAFT_REJECTION",1.90244962490483e-09,4.56587909977159e-08,0.774939030136436,-0.584225825851132,-1.92462141311226,74,"3662/5788/729230/5579/917/3559/586/3624/3932/3111/940/2533/10225/7070/3394/3702/3586/1520/3569/2213/5551/1234/27240/942/1230/914/973/4065/916/6357/3561/3117/926/925/3689/2833/43/4283/3976/3122/4843/915/3001/50852/3002/3109/6351/6347/10261/3560/6352/924/6363"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",7.19197389885367e-05,0.000863036867862441,0.538434096309916,-0.554750526898258,-1.74524755546169,45,"716/3075/715/7412/710/3662/5743/2357/7130/163351/3394/10875/952/57823/3569/94240/942/3117/969/55024/4283/3001/3620/6347/3560/6352/3123/6373"
"HALLMARK_KRAS_SIGNALING_UP",5.58452904027747e-05,0.000863036867862441,0.557332238758646,-0.448861859872186,-1.51571470737852,110,"639/80380/3075/10457/5396/9945/2115/51311/3575/2048/9590/650/220/7035/5743/3290/2982/10418/3624/2995/7851/3394/51704/1520/3936/8854/55273/5329/3561/28959/3689/2254/5649/7805/5328/3976/3486/2162/9892/2012/7852/6004/5593/90865/55365/7139/8404/25907/4613/3783/6447/9358/5243/5950/7102"
"HALLMARK_APOPTOSIS",0.000171865751448974,0.00140570761741645,0.518848077743792,-0.545707159026393,-1.7041607879384,41,"301/9890/650/1634/857/8900/4313/4060/952/633/3569/5551/552/9638/914/2878/969/3082/2012"
"HALLMARK_INFLAMMATORY_RESPONSE",0.000175713452177056,0.00140570761741645,0.518848077743792,-0.472002465714427,-1.56822640916866,82,"3575/3037/4233/2357/7130/6504/10630/3624/3932/6376/10663/3586/1536/5724/27074/3569/3386/5329/187/5739/8744/9966/6369/3690/969/5054/962/4283/3976/4481/6869/6004/366/5099/6401/6347/5732/8685/3560/6352/6373/5008/970/3552/3576/10242/6402/3627/5996/6372/3553/1236"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0011332409245506,0.00777079491120412,0.45505986738723,-0.493118897969439,-1.57980819360912,55,"9945/3575/650/1959/5743/9242/5806/7130/3624/8013/3569/2669/5341/5329/8744/969/5054/5328/3371/2921/3976/2919/597/3491/6351/6347/1958/2920/6352/6373/8061/3552/50486/2150/3627/6372/3553/3164/8942/1843"
"HALLMARK_IL2_STAT5_SIGNALING",0.0019813982682015,0.011888389609209,0.431707695803346,-0.474548536049211,-1.51648460362048,52,"5325/650/3662/3559/6335/3394/10875/3586/9173/1493/8530/942/8320/51284/962/3976/2012/126669/6004/80760/1690/5732/5243/3560/7850/2151/84525/6402/3627/5745/7052"
"HALLMARK_UV_RESPONSE_DN",0.00232400461673186,0.0123946912892366,0.431707695803346,-0.511423279574817,-1.59224918336234,40,"5737/6591/3037/4233/7035/857/10516/1290/1281/4131/3815/1278/1277/5332/3690/4325/5054/5999/29970/3491/2202/3397/5468/2650/136/773/1843/6334"
"HALLMARK_ANGIOGENESIS",0.00737337735491387,0.0353922113035866,0.407017918923954,-0.581126937984354,-1.5849428759632,17,"11167/1462/1290/1281/10631/4060/4023"
"HALLMARK_PEROXISOME",0.0172782242371799,0.0753958875804214,0.352487857583619,0.325149249790192,1.43366845301472,20,"6833/1733/866/11001/6820/1382/1718"
"HALLMARK_APICAL_SURFACE",0.0269989615784008,0.107995846313603,0.282013350011725,-0.539028365427228,-1.49935523152214,19,"2619/8406/6376/7070/4118/5329/3561/51458/255738/202/3560"
