"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","cilium movement","9/122","52/3645",0.173076923076923,5.17102774274905,5.63675189603656,4.28244564804865e-05,0.075959868228335,0.0736573003965793,"ENSG00000143126/ENSG00000183833/ENSG00000112981/ENSG00000006128/ENSG00000159648/ENSG00000163879/ENSG00000171811/ENSG00000107954/ENSG00000114547",9
"GO:0044782","cilium organization","9/122","56/3645",0.160714285714286,4.80166861826698,5.3345073773642,7.87556954155884e-05,0.075959868228335,0.0736573003965793,"ENSG00000143126/ENSG00000178965/ENSG00000183833/ENSG00000146038/ENSG00000112981/ENSG00000163879/ENSG00000171811/ENSG00000107954/ENSG00000114547",9
"GO:0060271","cilium assembly","8/122","47/3645",0.170212765957447,5.08545517963027,5.24531504159534,0.000131546666485628,0.0845845065502586,0.0820205004719159,"ENSG00000143126/ENSG00000178965/ENSG00000183833/ENSG00000146038/ENSG00000112981/ENSG00000163879/ENSG00000171811/ENSG00000107954",8
"GO:0050769","positive regulation of neurogenesis","10/122","84/3645",0.119047619047619,3.55679156908665,4.41125089680018,0.000413217784663113,0.199274276653786,0.193233685091145,"ENSG00000131095/ENSG00000148053/ENSG00000108830/ENSG00000140538/ENSG00000100146/ENSG00000081479/ENSG00000064309/ENSG00000168329/ENSG00000106278/ENSG00000107954",10
"GO:1901570","fatty acid derivative biosynthetic process","4/122","14/3645",0.285714285714286,8.53629976580796,5.25680462182569,0.000921757777588309,0.325027574591704,0.315175029357703,"ENSG00000146151/ENSG00000197977/ENSG00000100031/ENSG00000134824",4
"GO:2000177","regulation of neural precursor cell proliferation","6/122","38/3645",0.157894736842105,4.71742881794651,4.28621711748389,0.00142521775121842,0.325027574591704,0.315175029357703,"ENSG00000140538/ENSG00000100146/ENSG00000081479/ENSG00000064309/ENSG00000168329/ENSG00000106278",6
"GO:0120036","plasma membrane bounded cell projection organization","26/122","433/3645",0.0600461893764434,1.79400295309128,3.2748474582553,0.00180532496605796,0.325027574591704,0.315175029357703,"ENSG00000131095/ENSG00000143126/ENSG00000148053/ENSG00000108830/ENSG00000140538/ENSG00000178965/ENSG00000124205/ENSG00000081479/ENSG00000183833/ENSG00000146038/ENSG00000163220/ENSG00000117407/ENSG00000112981/ENSG00000106278/ENSG00000012171/ENSG00000104332/ENSG00000120729/ENSG00000196090/ENSG00000133067/ENSG00000163879/ENSG00000138696/ENSG00000171811/ENSG00000164742/ENSG00000107954/ENSG00000114547/ENSG00000151892",26
"GO:0001539","cilium or flagellum-dependent cell motility","6/122","40/3645",0.15,4.48155737704918,4.11968201847933,0.00187617456325325,0.325027574591704,0.315175029357703,"ENSG00000006128/ENSG00000159648/ENSG00000163879/ENSG00000171811/ENSG00000107954/ENSG00000114547",6
"GO:0060285","cilium-dependent cell motility","6/122","40/3645",0.15,4.48155737704918,4.11968201847933,0.00187617456325325,0.325027574591704,0.315175029357703,"ENSG00000006128/ENSG00000159648/ENSG00000163879/ENSG00000171811/ENSG00000107954/ENSG00000114547",6
"GO:0060294","cilium movement involved in cell motility","6/122","40/3645",0.15,4.48155737704918,4.11968201847933,0.00187617456325325,0.325027574591704,0.315175029357703,"ENSG00000006128/ENSG00000159648/ENSG00000163879/ENSG00000171811/ENSG00000107954/ENSG00000114547",6
"GO:0050832","defense response to fungus","5/122","28/3645",0.178571428571429,5.33518735362998,4.28474923875418,0.00204881097300872,0.325027574591704,0.315175029357703,"ENSG00000143546/ENSG00000163220/ENSG00000168329/ENSG00000006128/ENSG00000145777",5
"GO:0061351","neural precursor cell proliferation","7/122","56/3645",0.125,3.73463114754098,3.8372387221844,0.00235036182776544,0.325027574591704,0.315175029357703,"ENSG00000140538/ENSG00000100146/ENSG00000081479/ENSG00000064309/ENSG00000168329/ENSG00000117407/ENSG00000106278",7
"GO:0030030","cell projection organization","26/122","444/3645",0.0585585585585586,1.74955693398316,3.13592777694456,0.00259028366945333,0.325027574591704,0.315175029357703,"ENSG00000131095/ENSG00000143126/ENSG00000148053/ENSG00000108830/ENSG00000140538/ENSG00000178965/ENSG00000124205/ENSG00000081479/ENSG00000183833/ENSG00000146038/ENSG00000163220/ENSG00000117407/ENSG00000112981/ENSG00000106278/ENSG00000012171/ENSG00000104332/ENSG00000120729/ENSG00000196090/ENSG00000133067/ENSG00000163879/ENSG00000138696/ENSG00000171811/ENSG00000164742/ENSG00000107954/ENSG00000114547/ENSG00000151892",26
"GO:0009620","response to fungus","5/122","30/3645",0.166666666666667,4.97950819672131,4.07238339550619,0.00281598933495613,0.325027574591704,0.315175029357703,"ENSG00000143546/ENSG00000163220/ENSG00000168329/ENSG00000006128/ENSG00000145777",5
"GO:0072522","purine-containing compound biosynthetic process","5/122","30/3645",0.166666666666667,4.97950819672131,4.07238339550619,0.00281598933495613,0.325027574591704,0.315175029357703,"ENSG00000115919/ENSG00000117009/ENSG00000112981/ENSG00000197977/ENSG00000164742",5
"GO:0033993","response to lipid","19/122","291/3645",0.0652920962199313,1.95073516984959,3.14584487292393,0.00321484690762906,0.325027574591704,0.315175029357703,"ENSG00000140538/ENSG00000100146/ENSG00000143867/ENSG00000143546/ENSG00000064309/ENSG00000113739/ENSG00000069702/ENSG00000117009/ENSG00000168329/ENSG00000082175/ENSG00000006128/ENSG00000104332/ENSG00000108370/ENSG00000164879/ENSG00000134760/ENSG00000164742/ENSG00000091831/ENSG00000159184/ENSG00000143556",19
"GO:0048511","rhythmic process","8/122","75/3645",0.106666666666667,3.18688524590164,3.56069927478172,0.00322230670090621,0.325027574591704,0.315175029357703,"ENSG00000148053/ENSG00000140538/ENSG00000133256/ENSG00000082175/ENSG00000179388/ENSG00000138696/ENSG00000164742/ENSG00000091831",8
"GO:0035930","corticosteroid hormone secretion","3/122","10/3645",0.3,8.96311475409836,4.6918437927459,0.00369558780477681,0.325027574591704,0.315175029357703,"ENSG00000119147/ENSG00000006128/ENSG00000126562",3
"GO:1901568","fatty acid derivative metabolic process","4/122","20/3645",0.2,5.97540983606557,4.15147694730276,0.00381793555561766,0.325027574591704,0.315175029357703,"ENSG00000146151/ENSG00000197977/ENSG00000100031/ENSG00000134824",4
"GO:0051962","positive regulation of nervous system development","10/122","113/3645",0.0884955752212389,2.64398665312636,3.30323855965193,0.0040919378505591,0.325027574591704,0.315175029357703,"ENSG00000131095/ENSG00000148053/ENSG00000108830/ENSG00000140538/ENSG00000100146/ENSG00000081479/ENSG00000064309/ENSG00000168329/ENSG00000106278/ENSG00000107954",10
"GO:2001242","regulation of intrinsic apoptotic signaling pathway","5/122","34/3645",0.147058823529412,4.39368370298939,3.69921739914661,0.00494155137625362,0.325027574591704,0.315175029357703,"ENSG00000141682/ENSG00000143546/ENSG00000163220/ENSG00000112981/ENSG00000164879",5
"GO:0030318","melanocyte differentiation","3/122","11/3645",0.272727272727273,8.14828614008942,4.4179275303531,0.00495820751170338,0.325027574591704,0.315175029357703,"ENSG00000124205/ENSG00000100146/ENSG00000104044",3
"GO:0006164","purine nucleotide biosynthetic process","4/122","22/3645",0.181818181818182,5.43219076005961,3.87979157211788,0.00547382689561838,0.325027574591704,0.315175029357703,"ENSG00000115919/ENSG00000117009/ENSG00000112981/ENSG00000164742",4
"GO:0007018","microtubule-based movement","9/122","101/3645",0.0891089108910891,2.66231131309852,3.15238294137848,0.00611293161673572,0.325027574591704,0.315175029357703,"ENSG00000143126/ENSG00000183833/ENSG00000112981/ENSG00000006128/ENSG00000159648/ENSG00000163879/ENSG00000171811/ENSG00000107954/ENSG00000114547",9
"GO:0010720","positive regulation of cell development","11/122","139/3645",0.079136690647482,2.36437079844321,3.05173372959751,0.0062040222380819,0.325027574591704,0.315175029357703,"ENSG00000131095/ENSG00000148053/ENSG00000108830/ENSG00000140538/ENSG00000100146/ENSG00000081479/ENSG00000064309/ENSG00000168329/ENSG00000106278/ENSG00000179388/ENSG00000107954",11
"GO:1901293","nucleoside phosphate biosynthetic process","5/122","36/3645",0.138888888888889,4.14959016393443,3.5336589610032,0.00634763361352699,0.325027574591704,0.315175029357703,"ENSG00000115919/ENSG00000117009/ENSG00000112981/ENSG00000197977/ENSG00000164742",5
"GO:2001235","positive regulation of apoptotic signaling pathway","5/122","36/3645",0.138888888888889,4.14959016393443,3.5336589610032,0.00634763361352699,0.325027574591704,0.315175029357703,"ENSG00000141682/ENSG00000143546/ENSG00000163220/ENSG00000104332/ENSG00000138696",5
"GO:0002052","positive regulation of neuroblast proliferation","3/122","12/3645",0.25,7.46926229508197,4.17662479008924,0.00645087524754132,0.325027574591704,0.315175029357703,"ENSG00000100146/ENSG00000064309/ENSG00000168329",3
"GO:0038179","neurotrophin signaling pathway","3/122","12/3645",0.25,7.46926229508197,4.17662479008924,0.00645087524754132,0.325027574591704,0.315175029357703,"ENSG00000148053/ENSG00000140538/ENSG00000151892",3
"GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","3/122","12/3645",0.25,7.46926229508197,4.17662479008924,0.00645087524754132,0.325027574591704,0.315175029357703,"ENSG00000141682/ENSG00000143546/ENSG00000163220",3
"GO:0060135","maternal process involved in female pregnancy","4/122","23/3645",0.173913043478261,5.1960085531005,3.75611463001872,0.0064573417050605,0.325027574591704,0.315175029357703,"ENSG00000113739/ENSG00000082175/ENSG00000134760/ENSG00000091831",4
"GO:0170033","L-amino acid metabolic process","6/122","51/3645",0.117647058823529,3.51494696239151,3.3654075153947,0.00652360088770105,0.325027574591704,0.315175029357703,"ENSG00000115919/ENSG00000117009/ENSG00000146151/ENSG00000167701/ENSG00000100031/ENSG00000104044",6
"GO:0170039","proteinogenic amino acid metabolic process","6/122","51/3645",0.117647058823529,3.51494696239151,3.3654075153947,0.00652360088770105,0.325027574591704,0.315175029357703,"ENSG00000115919/ENSG00000117009/ENSG00000146151/ENSG00000167701/ENSG00000100031/ENSG00000104044",6
"GO:0003006","developmental process involved in reproduction","16/122","244/3645",0.0655737704918033,1.95915076592314,2.88596628398476,0.00661210681262035,0.325027574591704,0.315175029357703,"ENSG00000143867/ENSG00000081479/ENSG00000183833/ENSG00000113739/ENSG00000082175/ENSG00000112981/ENSG00000104332/ENSG00000100031/ENSG00000163879/ENSG00000138696/ENSG00000104044/ENSG00000107954/ENSG00000114547/ENSG00000091831/ENSG00000151892/ENSG00000159184",16
