Model,N_survival,LogRank_stat,LogRank_p,CIndex_Cluster,CIndex_PAM50,N_adjusted,Adjusted_LR_stat,Adjusted_LR_df,Adjusted_LR_p,Independent_Marker
PCA_40,790,4.862222046601332,0.301728732785397,0.5622575330817877,0.6060477228038476,740,2.2327553899006034,4,0.6930371303322549,NO
VAE_Z10,790,9.66612011914676,0.04644352060182736,0.6193070096189616,0.6060477228038476,740,5.124112226043167,4,0.2747982257843505,NO
VAE_Z20,790,5.475318990795797,0.24190749372535192,0.538661848328639,0.6060477228038476,740,2.493375352770613,4,0.645822430309859,NO
VAE_Z40,790,15.578206320483144,0.003640659314780433,0.6429292660891747,0.6060477228038476,740,3.8084241565290995,4,0.43255320005680753,NO
