"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","5/151","15/1876",0.333333333333333,4.14128035320088,3.61304774809145,0.00489477343175631,0.367496195487855,0.367496195487855,"9429/10350/23460/10351/10349",5
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","9/151","43/1876",0.209302325581395,2.60033882642846,3.14021582033226,0.00582643494281215,0.367496195487855,0.367496195487855,"720/721/185/629/2162/2353/729/730/6403",9
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","6/151","22/1876",0.272727272727273,3.38832028898254,3.3330636211401,0.00621414118412302,0.367496195487855,0.367496195487855,"5733/154/5346/364/2167/63924",6
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","5/151","18/1876",0.277777777777778,3.45106696100074,3.09074470331151,0.0114590127186792,0.367496195487855,0.367496195487855,"8817/2255/80310/3082/3479",5
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","7/151","32/1876",0.21875,2.71771523178808,2.89894688051261,0.0115017525036095,0.367496195487855,0.367496195487855,"3158/440503/5346/364/2167/729359/9370",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","11/151","65/1876",0.169230769230769,2.10249617931737,2.67589523525449,0.0126101635706617,0.367496195487855,0.367496195487855,"2099/7066/10411/150/185/3481/154/7434/554/3479/9370",11
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","11/151","65/1876",0.169230769230769,2.10249617931737,2.67589523525449,0.0126101635706617,0.367496195487855,0.367496195487855,"1101/80310/7060/1288/2200/3082/22801/3908/7148/3479/158326",11
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","12/151","79/1876",0.151898734177215,1.88716573057255,2.38308111253773,0.0213275521321467,0.543852579369741,0.543852579369741,"2066/4137/1846/8817/2255/80310/3481/3082/1843/2353/3479/4804",12
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","17/151","134/1876",0.126865671641791,1.57615894039735,2.04722317468582,0.0356107106867273,0.807176108899151,0.807176108899151,"367/2099/5733/185/7704/8817/2255/2949/3481/1288/862/3082/3908/2353/6387/3479/2736",17
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","6/151","34/1876",0.176470588235294,2.19244253992988,2.07551877576517,0.0502418912141593,0.840699665749142,0.840699665749142,"2099/5241/8817/2255/2353/3479",6
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","3/151","11/1876",0.272727272727273,3.38832028898254,2.34987116708973,0.0521765214926803,0.840699665749142,0.840699665749142,"9365/3479/9370",3
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","14/151","111/1876",0.126126126126126,1.56697094445439,1.82156426450433,0.0565956649169413,0.840699665749142,0.840699665749142,"2066/1101/8817/2255/80310/7060/3481/1288/3082/22801/3908/7148/3479/4804",14
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","6/151","35/1876",0.171428571428571,2.12980132450331,1.99573910663557,0.0567608209422632,0.840699665749142,0.840699665749142,"2206/10411/185/80310/554/2205",6
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","8/151","53/1876",0.150943396226415,1.87529676371361,1.91202903602181,0.0576950751004313,0.840699665749142,0.840699665749142,"367/2099/5241/8817/2255/2949/154/2353",8
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","8/151","58/1876",0.137931034482759,1.71363324960037,1.63300191414209,0.0889257969509241,0.98903518338999,0.98903518338999,"10788/8817/2255/80310/22801/6387/729/730",8
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","9/151","68/1876",0.132352941176471,1.64433190494741,1.60088243598139,0.0905295812962967,0.98903518338999,0.98903518338999,"1101/80310/7060/1288/3082/22801/3908/7148/3479",9
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","7/151","50/1876",0.14,1.73933774834437,1.56737189869809,0.101512472000208,0.98903518338999,0.98903518338999,"720/721/2151/629/2162/729/730",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","7/151","52/1876",0.134615384615385,1.67244014263882,1.45457944579805,0.119077750630345,0.98903518338999,0.98903518338999,"1101/7060/1288/22801/3908/7148/158326",7
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","5/151","33/1876",0.151515151515152,1.88240016054586,1.51270569092229,0.120392614061832,0.98903518338999,0.98903518338999,"10411/260293/6571/3357/1843",5
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","5/151","34/1876",0.147058823529412,1.82703544994157,1.4395055083141,0.132487566276948,0.98903518338999,0.98903518338999,"185/5346/4634/1958/440738",5
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","4/151","25/1876",0.16,1.98781456953642,1.47074297388753,0.1360019173123,0.98903518338999,0.98903518338999,"65266/9365/2353/1958",4
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","5/151","36/1876",0.138888888888889,1.72553348050037,1.30015268458946,0.158228281789134,0.98903518338999,0.98903518338999,"2099/7031/9687/5241/2353",5
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","4/151","28/1876",0.142857142857143,1.77483443708609,1.22188830098211,0.183495845685706,0.98903518338999,0.98903518338999,"720/721/125/9370",4
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","4/151","28/1876",0.142857142857143,1.77483443708609,1.22188830098211,0.183495845685706,0.98903518338999,0.98903518338999,"7060/3082/2532/6403",4
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","5/151","38/1876",0.131578947368421,1.63471592889509,1.16921129543112,0.185842606719699,0.98903518338999,0.98903518338999,"10411/83700/58494/6387/5010",5
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","3/151","19/1876",0.157894736842105,1.9616591146741,1.2461965964976,0.192515430404195,0.98903518338999,0.98903518338999,"80310/3082/3479",3
