"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","16/221","48/1876",0.333333333333333,2.82956259426848,4.69113109142471,5.68813759828395e-05,0.0127414282201561,0.0116756508596355,"3559/3815/952/926/3569/1378/930/3575/2208/917/921/925/931/3676/3111/4311",16
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","7/221","12/1876",0.583333333333333,4.95173453996984,5.01710517946694,0.000135343364968584,0.0138322254106434,0.0126752065558057,"3932/926/973/930/3575/925/5788",7
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","10/221","24/1876",0.416666666666667,3.5369532428356,4.5697807780961,0.000185253018892545,0.0138322254106434,0.0126752065558057,"5063/5588/1493/3932/926/5133/3702/917/925/5788",10
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","24/221","118/1876",0.203389830508475,1.72651276938416,2.97832847768481,0.00395179308878618,0.124790732739027,0.114352410169691,"3595/6374/2919/650/2921/3559/658/9173/6369/2920/3569/10663/85480/50615/3575/608/8771/939/729230/6368/2662/90865/6366/4804",24
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","21/221","99/1876",0.212121212121212,1.80063074180721,2.99022534966889,0.00414343018900027,0.124790732739027,0.114352410169691,"5063/5803/3897/5588/3932/3737/9353/201633/10225/30835/6504/114836/5579/4638/287/4068/4063/79827/91584/145581/3676",21
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","7/221","19/1876",0.368421052631579,3.127411288402,3.40502325070847,0.00414971541009777,0.124790732739027,0.114352410169691,"399694/4233/9542/3569/5579/3084/5156",7
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","16/221","68/1876",0.235294117647059,1.99733830183657,3.06052206652411,0.00416383075091997,0.124790732739027,0.114352410169691,"399694/1101/4233/5063/1286/1285/22801/3908/858/7058/5579/4638/8395/5156/5649/3676",16
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","9/221","29/1876",0.310344827586207,2.63442034638789,3.2406123674187,0.00445681188353666,0.124790732739027,0.114352410169691,"2919/5743/2921/5588/2920/3932/7412/5579/6366",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","15/221","65/1876",0.230769230769231,1.95892794987818,2.87462503941122,0.00665682660083597,0.158564155290894,0.145300800196073,"55612/1101/4233/1286/1285/2200/22801/3908/7412/7058/3386/5156/5649/158326/3676",15
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","8/221","26/1876",0.307692307692308,2.6119039331709,3.02369330700139,0.00770318621532769,0.158564155290894,0.145300800196073,"399694/79465/80328/5551/3932/5579/259197/4068",8
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","7/221","21/1876",0.333333333333333,2.82956259426848,3.08022709421276,0.00778663262589213,0.158564155290894,0.145300800196073,"3932/926/3569/925/2533/8395/3676",7
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","5/221","12/1876",0.416666666666667,3.5369532428356,3.22090492819213,0.00855406863569664,0.159675947866337,0.146319595084285,"2919/2921/2920/3569/1378",5
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","8/221","28/1876",0.285714285714286,2.42533936651584,2.77615740284522,0.0124388839283815,0.20065561996378,0.183871456263802,"3559/5588/3662/3932/3569/50615/917/3111",8
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","7/221","23/1876",0.304347826086957,2.58351367302774,2.79155249955304,0.0133597876722685,0.20065561996378,0.183871456263802,"2919/5743/2921/2920/3569/440738/5294",7
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","12/221","52/1876",0.230769230769231,1.95892794987818,2.56196389952818,0.0147291493749255,0.20065561996378,0.183871456263802,"56963/2047/2051/4233/91653/5063/658/3897/9353/91584/223117/10371",12
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","21/221","111/1876",0.189189189189189,1.60596795890914,2.40456526597569,0.0160045080912147,0.20065561996378,0.183871456263802,"1101/4233/1286/3559/2254/3815/118788/1285/22801/284/3908/3569/7058/930/3575/5156/5649/4804/2252/3676/5294",21
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","9/221","35/1876",0.257142857142857,2.18280542986425,2.58058525403046,0.016695727882872,0.20065561996378,0.183871456263802,"5596/6374/2919/5743/2921/6279/6280/2920/3569",9
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","7/221","24/1876",0.291666666666667,2.47586726998492,2.65846045860109,0.0170198963362135,0.20065561996378,0.183871456263802,"2919/2921/115362/2920/3569/1536/440738",7
