"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","7/221","24/1876",0.291666666666667,2.47586726998492,2.65846045860109,0.0170198963362135,0.20065561996378,0.183871456263802,"3595/864/3559/5588/3932/917/3111",7
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","6/221","19/1876",0.315789473684211,2.68063824720171,2.68994168591175,0.0180255244398458,0.201885873726273,0.184998803461576,"118788/973/930/5579/640/55024",6
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","7/221","25/1876",0.28,2.37683257918552,2.53189506731424,0.0213361367908872,0.227585459102797,0.208548705474837,"6374/2919/5743/2921/2920/7412/3569",7
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","5/221","15/1876",0.333333333333333,2.82956259426848,2.59906708465373,0.0241196311127884,0.245581698602936,0.225039620430322,"2919/4233/2921/5803/2920",5
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","13/221","64/1876",0.203125,1.72426470588235,2.15380304324244,0.0315963114291596,0.307720598266598,0.281980811381516,"671/8685/338382/1513/2219/1378/4069/30835/7058/4360/1536/440738/3111",13
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","9/221","39/1876",0.230769230769231,1.95892794987818,2.21086119168663,0.0329740723674456,0.307758008762825,0.282015092616311,"338382/2919/2921/1286/1285/2920/3908/3569/5579",9
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","13/221","65/1876",0.2,1.69773755656109,2.09164187078175,0.0354880800478557,0.317973197228787,0.291375815129763,"399694/6374/2919/2921/6369/2920/10663/5579/3702/729230/6368/6366/5294",13
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","7/221","28/1876",0.25,2.12217194570136,2.18567312985909,0.0386976629917963,0.323771771300111,0.296689358099256,"3595/3559/3569/85480/50615/3575/5156",7
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","8/221","34/1876",0.235294117647059,1.99733830183657,2.14405004147359,0.0390260617192098,0.323771771300111,0.296689358099256,"6261/4638/5140/6546/6547/440738/1490/5294",8
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","4/221","12/1876",0.333333333333333,2.82956259426848,2.32280480255473,0.0432167669258846,0.341921006190374,0.313320470898134,"5588/3932/5133/917",4
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","9/221","41/1876",0.219512195121951,1.86337048890851,2.04206173648219,0.0442665588371466,0.341921006190374,0.313320470898134,"6374/2919/2921/1513/284/1493/2920/3569/3111",9
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","5/221","18/1876",0.277777777777778,2.35796882855706,2.11495422715167,0.0513355806194457,0.383305668625194,0.351243446343576,"1608/5579/6581/8395/5156",5
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","7/221","31/1876",0.225806451612903,1.9168004670851,1.88042173067567,0.0634216692644886,0.458272706943401,0.419939745554339,"864/8900/3569/930/2208/917/3111",7
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","11/221","58/1876",0.189655172413793,1.60992354501482,1.72381331126536,0.07086883623723,0.49608185366061,0.454586285074337,"1131/50649/5063/2254/22801/4638/8395/5156/3071/2252/3676",11
"Human Diseases","Infectious disease: viral","hsa05162","Measles","5/221","20/1876",0.25,2.12217194570136,1.84324554472098,0.0765481079485543,0.505730024706691,0.463427419256602,"3559/3569/30835/6504/917",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","10/221","52/1876",0.192307692307692,1.63243995823181,1.6896872615037,0.0767625930358371,0.505730024706691,0.463427419256602,"1101/1286/1285/22801/3908/7058/9899/5649/158326/3676",10
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","5/221","21/1876",0.238095238095238,2.0211161387632,1.71913746313441,0.0912560612469117,0.584038791980235,0.535185923102189,"399694/9542/5063/5579/3084",5
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","7/221","34/1876",0.205882352941176,1.747671014107,1.60732227555359,0.0959765289072116,0.597187290978206,0.547234594646382,"2099/8326/399694/7475/2254/3815/2252",7
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","6/221","28/1876",0.214285714285714,1.81900452488688,1.59518885687297,0.102196165090599,0.610407398537592,0.559348884938113,"5743/1378/5579/1536/3676/3111",6
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","3/221","10/1876",0.3,2.54660633484163,1.79152032154726,0.103551255109056,0.610407398537592,0.559348884938113,"23007/8395/5294",3
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","7/221","35/1876",0.2,1.69773755656109,1.52228862345638,0.10856004690152,0.612950276521619,0.561679059782499,"399694/1608/5737/3815/8395/5156/5294",7
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","4/221","16/1876",0.25,2.12217194570136,1.64687523998504,0.109455406521718,0.612950276521619,0.561679059782499,"5743/3569/30835/1959",4
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","11/221","63/1876",0.174603174603175,1.48215183509301,1.42217477243814,0.11362930074504,0.62080398455827,0.56887583171458,"4233/2254/3815/284/5579/5028/2533/5156/2357/4804/2252",11
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","12/221","71/1876",0.169014084507042,1.43470779427697,1.36422427213038,0.121926025798979,0.650272137594552,0.595879073453655,"8326/7475/1101/5743/1286/8900/1285/22801/3908/7058/5649/3676",12
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","3/221","11/1876",0.272727272727273,2.31509666803784,1.59813099952622,0.130509525464019,0.652046041027583,0.597504595866441,"91653/2619/2736",3
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","6/221","30/1876",0.2,1.69773755656109,1.407455436349,0.13246208480876,0.652046041027583,0.597504595866441,"1286/1285/7412/3569/5579/1536",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","17/221","109/1876",0.155963302752294,1.32392378263938,1.27302104516156,0.132560641697818,0.652046041027583,0.597504595866441,"8326/2568/1824/7475/28513/4233/1828/1825/2196/1830/1009/56112/79633/5156/3071/5101/54510",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","14/221","87/1876",0.160919540229885,1.36599573516409,1.27710985018592,0.135277394938488,0.652046041027583,0.597504595866441,"3897/80380/1493/923/926/7412/9071/201633/5133/1462/925/5788/3676/3111",14
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","6/221","31/1876",0.193548387096774,1.64297182893008,1.31878008655092,0.149031784539385,0.652046041027583,0.597504595866441,"338382/5063/3569/5788/3071/5294",6
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","20/221","134/1876",0.149253731343284,1.26696832579186,1.17161746135343,0.15092881291917,0.652046041027583,0.597504595866441,"2099/8326/3595/7475/4233/5743/650/1286/3559/2254/3815/8900/1285/3908/3569/3575/5579/5156/2736/2252",20
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","4/221","18/1876",0.222222222222222,1.88637506284565,1.38047549147294,0.153195495665029,0.652046041027583,0.597504595866441,"284/3569/5579/1536",4
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","4/221","18/1876",0.222222222222222,1.88637506284565,1.38047549147294,0.153195495665029,0.652046041027583,0.597504595866441,"8900/3569/5579/1959",4
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","4/221","18/1876",0.222222222222222,1.88637506284565,1.38047549147294,0.153195495665029,0.652046041027583,0.597504595866441,"8326/7475/650/2736",4
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","4/221","18/1876",0.222222222222222,1.88637506284565,1.38047549147294,0.153195495665029,0.652046041027583,0.597504595866441,"4233/2254/5156/2252",4
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","3/221","12/1876",0.25,2.12217194570136,1.42470467691733,0.159607111643396,0.652046041027583,0.597504595866441,"1608/5579/8395",3
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","10/221","60/1876",0.166666666666667,1.41478129713424,1.19298406395387,0.16010059043088,0.652046041027583,0.597504595866441,"399694/4233/5063/2254/3815/284/5579/5156/4804/2252",10
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","10/221","60/1876",0.166666666666667,1.41478129713424,1.19298406395387,0.16010059043088,0.652046041027583,0.597504595866441,"6374/2919/2921/3559/6369/2920/3569/729230/6368/6366",10
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","9/221","53/1876",0.169811320754717,1.44147528387262,1.19110149234669,0.163214632483409,0.652858529933635,0.598249122824524,"8326/1131/7475/5743/1139/3569/4023/1536/4311",9
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","4/221","19/1876",0.210526315789474,1.78709216480114,1.25977855631831,0.177185753374366,0.696308925541367,0.638065039852287,"2099/5579/6546/6547",4
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","15/221","100/1876",0.15,1.27330316742081,1.02617388474381,0.190242084965632,0.734728052281063,0.673270536629733,"1131/4233/6261/2254/5737/952/1139/6869/5579/4638/6546/6547/5156/5023/2252",15
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","7/221","41/1876",0.170731707317073,1.44928815803995,1.06266564351514,0.200512170543285,0.761266545791455,0.697589174949877,"2358/366/1378/51311/5579/1536/2357",7
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","7/221","42/1876",0.166666666666667,1.41478129713424,0.993211910146273,0.218199313609886,0.765114139058947,0.701114930058716,"6261/5743/952/2982/5579/4638/5294",7
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","3/221","14/1876",0.214285714285714,1.81900452488688,1.12372037259714,0.222616102568914,0.765114139058947,0.701114930058716,"9388/1608/4023",3
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","3/221","14/1876",0.214285714285714,1.81900452488688,1.12372037259714,0.222616102568914,0.765114139058947,0.701114930058716,"399694/4233/858",3
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","3/221","14/1876",0.214285714285714,1.81900452488688,1.12372037259714,0.222616102568914,0.765114139058947,0.701114930058716,"4233/3815/5156",3
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","6/221","35/1876",0.171428571428571,1.4552036199095,0.993140308169334,0.22348682030744,0.765114139058947,0.701114930058716,"8326/399694/7475/4233/8110/5579",6
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","5/221","28/1876",0.178571428571429,1.5158371040724,1.00470458388684,0.227429322007683,0.765114139058947,0.701114930058716,"4233/7412/3569/1378/7058",5
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","4/221","21/1876",0.19047619047619,1.61689291101056,1.03859264759523,0.228483777315267,0.765114139058947,0.701114930058716,"5743/1286/1285/3908",4
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","8/221","50/1876",0.16,1.35819004524887,0.937877033807611,0.228851104093524,0.765114139058947,0.701114930058716,"5270/1378/84830/715/3075/716/5648/7035",8
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","7/221","43/1876",0.162790697674419,1.38187940650321,0.925501246605673,0.236426522113636,0.774190398725093,0.709431991312938,"3569/715/51311/716/5579/1536/5648",7
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","8/221","51/1876",0.156862745098039,1.33155886789105,0.877025206449686,0.245882553604495,0.774190398725093,0.709431991312938,"1828/2358/715/3075/716/2357/5648/3111",8
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","5/221","29/1876",0.172413793103448,1.46356685910438,0.919127383637324,0.250470054340913,0.774190398725093,0.709431991312938,"6374/3569/715/716/3394",5
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","4/221","22/1876",0.181818181818182,1.5433977786919,0.936638721821302,0.255411480090944,0.774190398725093,0.709431991312938,"3569/608/3676/3111",4
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","4/221","22/1876",0.181818181818182,1.5433977786919,0.936638721821302,0.255411480090944,0.774190398725093,0.709431991312938,"2099/117247/1734/5579",4
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","4/221","22/1876",0.181818181818182,1.5433977786919,0.936638721821302,0.255411480090944,0.774190398725093,0.709431991312938,"3595/3569/50615/3111",4
"Organismal Systems","Nervous system","hsa04730","Long-term depression","3/221","15/1876",0.2,1.69773755656109,0.991202335829198,0.255759328150254,0.774190398725093,0.709431991312938,"6261/2982/5579",3
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","6/221","37/1876",0.162162162162162,1.37654396477926,0.845129891098455,0.264608496479101,0.790297376150916,0.724191674574382,"399694/4233/5743/5579/1545/5156",6
"Organismal Systems","Immune system","hsa04611","Platelet activation","5/221","30/1876",0.166666666666667,1.41478129713424,0.836684489831334,0.274071648247343,0.800652800482351,0.733680902697643,"2982/4638/5028/5023/5294",5
"Organismal Systems","Sensory system","hsa04742","Taste transduction","4/221","23/1876",0.173913043478261,1.47629352744442,0.839650714550617,0.282941551281634,0.800652800482351,0.733680902697643,"9568/1131/5028/6328",4
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","6/221","38/1876",0.157894736842105,1.34031912360086,0.77428914849078,0.285867864645081,0.800652800482351,0.733680902697643,"7412/9071/5579/3702/1536/3676",6
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","6/221","38/1876",0.157894736842105,1.34031912360086,0.77428914849078,0.285867864645081,0.800652800482351,0.733680902697643,"8326/399694/7475/4233/2254/2252",6
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","3/221","16/1876",0.1875,1.59162895927602,0.868261845274372,0.289521771602993,0.800652800482351,0.733680902697643,"926/925/3111",3
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","3/221","16/1876",0.1875,1.59162895927602,0.868261845274372,0.289521771602993,0.800652800482351,0.733680902697643,"5579/5788/8395",3
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","5/221","31/1876",0.161290322580645,1.36914319077507,0.75713844242617,0.298117775883489,0.814370509730507,0.746251171980493,"56963/650/658/2200/7044",5
"Human Diseases","Cancer: specific types","hsa05214","Glioma","3/221","17/1876",0.176470588235294,1.49800372637743,0.753555305794001,0.323585017163299,0.868930433007275,0.796247342276404,"399694/5579/5156",3
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","6/221","40/1876",0.15,1.27330316742081,0.63831653707707,0.329378507860639,0.868930433007275,0.796247342276404,"2919/2921/2920/7412/3569/1536",6
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","2/221","10/1876",0.2,1.69773755656109,0.808228301880012,0.333250490188328,0.868930433007275,0.796247342276404,"29968/586",2
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","7/221","48/1876",0.145833333333333,1.23793363499246,0.610079084643238,0.333607219815293,0.868930433007275,0.796247342276404,"3559/8900/3932/3569/917/1959/3111",7
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","4/221","25/1876",0.16,1.35819004524887,0.658685465783472,0.339095683357522,0.870831460953277,0.797989355666772,"399694/3483/112609/5579",4
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","5/221","33/1876",0.151515151515152,1.28616481557658,0.605910267109773,0.347089438372435,0.870831460953277,0.797989355666772,"1131/1139/43/5579/5294",5
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","11/221","81/1876",0.135802469135802,1.1527847606279,0.513556339796829,0.354342435689529,0.870831460953277,0.797989355666772,"7802/8326/1131/7475/6261/5743/1139/3569/5579/1536/440738",11
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","3/221","18/1876",0.166666666666667,1.41478129713424,0.645996755794198,0.357662921462953,0.870831460953277,0.797989355666772,"7412/3569/5579",3
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","3/221","18/1876",0.166666666666667,1.41478129713424,0.645996755794198,0.357662921462953,0.870831460953277,0.797989355666772,"5551/1493/3111",3
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","3/221","18/1876",0.166666666666667,1.41478129713424,0.645996755794198,0.357662921462953,0.870831460953277,0.797989355666772,"5551/3569/3111",3
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","6/221","42/1876",0.142857142857143,1.21266968325792,0.509246833929544,0.373681641032568,0.89200109990194,0.817388225943977,"8326/7475/650/658/2736/1490",6
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","2/221","11/1876",0.181818181818182,1.5433977786919,0.660347529050403,0.37830403790484,0.89200109990194,0.817388225943977,"123099/7368",2
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","2/221","11/1876",0.181818181818182,1.5433977786919,0.660347529050403,0.37830403790484,0.89200109990194,0.817388225943977,"3569/90865",2
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","7/221","51/1876",0.137254901960784,1.16511400940467,0.436752450950726,0.39458577441969,0.906321057121824,0.830510367193401,"8842/4233/8900/64919/3569/8013/4804",7
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","6/221","43/1876",0.13953488372093,1.18446806271704,0.447066322761021,0.395939227884287,0.906321057121824,0.830510367193401,"1824/22801/3908/6546/6547/3676",6
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","5/221","35/1876",0.142857142857143,1.21266968325792,0.463991992882293,0.396515462490798,0.906321057121824,0.830510367193401,"1131/952/4069/2982/5579",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","10/221","76/1876",0.131578947368421,1.11693260300071,0.380192841013455,0.405340702710537,0.915132782041478,0.838585021137632,"2568/9568/1131/1139/6869/43/5579/5368/5028/5023",10
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","2/221","12/1876",0.166666666666667,1.41478129713424,0.526604551279927,0.422043423157129,0.915132782041478,0.838585021137632,"2099/399694",2
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","4/221","28/1876",0.142857142857143,1.21266968325792,0.414220310900715,0.423647171555188,0.915132782041478,0.838585021137632,"2919/2921/2920/3569",4
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","3/221","20/1876",0.15,1.27330316742081,0.448919479440109,0.4248830773764,0.915132782041478,0.838585021137632,"8326/7475/5579",3
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","3/221","20/1876",0.15,1.27330316742081,0.448919479440109,0.4248830773764,0.915132782041478,0.838585021137632,"5588/3569/5579",3
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","3/221","20/1876",0.15,1.27330316742081,0.448919479440109,0.4248830773764,0.915132782041478,0.838585021137632,"6261/5579/5649",3
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","7/221","53/1876",0.132075471698113,1.12114744301204,0.326856124084307,0.43537938139056,0.928809346966528,0.851117587680794,"8326/6422/7475/4919/11197/8549/5579",7
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","3/221","21/1876",0.142857142857143,1.21266968325792,0.358047832056059,0.457616294053256,0.943966677611725,0.865007058901721,"2982/5579/5156",3
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","3/221","21/1876",0.142857142857143,1.21266968325792,0.358047832056059,0.457616294053256,0.943966677611725,0.865007058901721,"1513/3569/51311",3
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","6/221","46/1876",0.130434782608696,1.10722014558332,0.268984674962905,0.462291416050698,0.943966677611725,0.865007058901721,"22801/3908/3569/6546/6547/3676",6
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","2/221","13/1876",0.153846153846154,1.30595196658545,0.404404771959168,0.464153034202788,0.943966677611725,0.865007058901721,"4233/5579",2
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","7/221","55/1876",0.127272727272727,1.08037844508433,0.221036373308772,0.475791385678998,0.943966677611725,0.865007058901721,"2099/8326/7475/4233/858/5579/287",7
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","4/221","30/1876",0.133333333333333,1.13182503770739,0.265913543313668,0.478629950626723,0.943966677611725,0.865007058901721,"3559/858/8395/5156",4
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","4/221","30/1876",0.133333333333333,1.13182503770739,0.265913543313668,0.478629950626723,0.943966677611725,0.865007058901721,"8326/7475/3815/5579",4
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","4/221","30/1876",0.133333333333333,1.13182503770739,0.265913543313668,0.478629950626723,0.943966677611725,0.865007058901721,"1908/2982/116/5140",4
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","3/221","22/1876",0.136363636363636,1.15754833401892,0.27156141594062,0.489543369942042,0.943966677611725,0.865007058901721,"11067/3569/3575",3
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","5/221","39/1876",0.128205128205128,1.08829330548788,0.203565077661648,0.493683087940265,0.943966677611725,0.865007058901721,"3569/1378/30835/4360/3111",5
"Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","2/221","14/1876",0.142857142857143,1.21266968325792,0.29179479288434,0.5044091894751,0.943966677611725,0.865007058901721,"79695/727936",2
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","2/221","14/1876",0.142857142857143,1.21266968325792,0.29179479288434,0.5044091894751,0.943966677611725,0.865007058901721,"29968/586",2
"Genetic Information Processing","Information processing in viruses","hsa03272","Virion - Hepatitis viruses","2/221","14/1876",0.142857142857143,1.21266968325792,0.29179479288434,0.5044091894751,0.943966677611725,0.865007058901721,"9071/1803",2
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","2/221","14/1876",0.142857142857143,1.21266968325792,0.29179479288434,0.5044091894751,0.943966677611725,0.865007058901721,"9388/4023",2
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","8/221","65/1876",0.123076923076923,1.04476157326836,0.134183949208088,0.505696434434852,0.943966677611725,0.865007058901721,"117247/1286/1285/6546/6547/7512/4311/1803",8
