sampleID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,Final_Label
TCGA-C8-A1HL-01,-14.875607190533056,0.2945608019280091,3.7859953834216604,2.888615942065638,5.039352148456605,6.024890442237533,-7.960517705543973,-2.1039488826534667,-1.0917824722807237,3.4026364765009918,-3.475606763820988,-11.560370482983634,-9.367939625482014,-10.841612746592789,-0.5398770373355184,-0.76321424763226,1.1437374963054205,-3.9615309678112403,5.156637673490555,2.492808858186723,5.850213664948941,-1.2915838618135251,7.229895438559644,3.518478704364247,-3.4726135022500246,-4.583424054328945,2.163096813807792,-1.5860121601318862,1.1957776644846891,-0.7871756226291082,0.7944863624730872,2.5559891661923273,-0.40419508360878853,2.883035721632366,0.7869701069346735,-1.1587275858460226,-5.66227322051811,-2.610286752522406,-2.639774709540218,0.32255789243661337,LumB
TCGA-EW-A2FS-01,3.0575556781184203,0.9904707084979454,-0.2516197146035703,-18.322050328210953,5.35958908802677,12.038335786640946,3.0402150129668337,-4.100845846844532,-2.034982563114891,-2.3811947426613593,-7.413022984422757,-1.761479511881322,-10.368344958559957,-1.6125971297915886,-1.1780797386129755,0.3498693584505178,-0.5565270878331974,-2.922177871890567,0.9667765005679747,4.846510423310501,-0.10459915775459132,3.325825318569271,-2.000069704653441,1.0376687339812045,-3.3778872787118215,0.9248227161077088,0.9904763149932273,0.06444376750850313,2.3544390575368963,-1.9516261513495727,-0.21911419161277151,1.5426467926758745,2.3051663826251954,3.170309164160484,2.366243145224638,-0.34207284505500585,0.9792563629894406,0.33532820202423924,-0.9192279379680881,-3.4294963419329036,LumA
TCGA-D8-A1JU-01,21.259816225682137,18.72694047510094,-3.1233400603827683,-0.0675969363237299,9.541533798690223,-5.12009540482537,-5.638313053214417,-6.803189956650995,-5.204447797533975,5.777481888152771,0.46413046472757225,3.0244122612383273,1.7955644164936493,2.453678240715628,2.0287556840528898,-1.2204030132804409,-0.7191822689274899,0.6300333966731594,-0.7430212229808857,-2.3590933113814705,-1.362784374526842,-1.017290032647964,-0.6106203761616696,-1.9681496648338237,2.5232355204695196,-0.8839001332784057,0.1543070282698894,0.3421997970256047,5.015553231323702,0.6448561287595626,1.06638025270986,-0.3564299598769874,3.109484002214915,1.7417267326819235,-0.8350841359567448,-0.5131386961165536,0.6893585004027473,-0.5254744315185143,-0.30928672524033624,-2.814513043456514,LumA
TCGA-B6-A0RL-01,-45.70340343189972,-4.913412328410011,-6.538441901605917,-18.458843515391038,-11.766809911821964,5.8640263873710605,11.347509194769957,2.39447099265118,-7.180513110894582,-4.536015625219242,5.8780952948882454,1.2714377102894683,-1.5646097658701648,12.284914457604565,0.00809840174737165,-5.377899954367487,-7.141846748192219,-6.252081692311828,2.2431533073478396,-4.18884945894619,-4.132052645271041,12.791213456717141,-2.660872930139837,-1.598057729905917,-6.401202091825106,-5.501487874433118,-11.543707450882687,-2.606741973224603,-1.0880433173690196,-1.4946508897531952,-1.4764646178551928,-2.2784909799487028,-0.43347282522828784,0.5872176655317284,-3.684197605365345,-0.5212581641736157,0.7746948311041871,1.638853552262114,3.712279881999906,5.06346618315835,LumB
TCGA-E9-A3HO-01,-11.556711496045464,-0.9516198924636426,1.335941877924524,-17.416601713837956,3.8293901119415126,6.143265518096048,6.3521170980253885,-0.26713482495294216,-5.404687566355187,5.821829521488737,-1.7438015413853396,-3.1236852869525595,6.758101698316014,-6.5348159268693955,-3.7171185266830182,-2.0862959413219873,0.3543760101259899,1.6614521587826228,0.7066548020372628,3.4234618726316866,6.080280787590207,-0.43796221460708895,3.3568696227892225,-3.613386519286606,2.450426399631451,-0.20410342853078098,3.277836290113193,4.290966684453571,-3.064504687397468,-0.31653618546864326,-3.5732825068369465,-1.0830081622294714,1.5902100731516249,-0.7696422351046823,5.487921728382194,1.5448651410277474,-1.880263139810004,6.809413485484866,-3.0559474735896783,1.385203567381631,LumB
TCGA-BH-A0B0-01,11.45155869932177,9.896947569276206,3.217761252467131,1.4168988400087608,11.271787015764502,1.4385466469924686,0.30126506386466234,-0.4854666497846289,-0.3341483503918148,6.793685009582409,4.553474210240289,-1.1204140600649632,3.1506213639434786,-1.1092407581913424,0.4600366142159123,-1.7045350955935694,-3.6178618783268597,3.0744041001886067,3.0726382518943667,-7.2782204157533,0.8363173513958766,-0.9198934307529543,0.4942048553661138,1.6291193698013429,1.6784699225302633,-1.261132086890048,-3.4400010384578357,0.6596969559467455,1.133104038721321,4.983071301654235,2.508557645175797,2.72218883190041,-3.0747134067115516,-0.974207419459381,-0.16022943705700976,1.3089839716120018,2.006693120007015,2.189658820722572,3.454341364970101,5.704914844042807,LumA
TCGA-D8-A1XJ-01,-11.482811191277433,-6.844216886937213,-0.44102250753519145,15.600209989010295,-2.7346404359488385,1.919833552143659,-0.7974145337667325,11.299431610704845,-1.4987372827419836,5.549241308153737,4.531252007892176,1.3150618965953669,8.290950723745711,-0.3106755949177187,3.969750182523831,2.568999694784048,2.3785548513468537,3.391169902028493,-0.09879190869501489,0.3652194519587325,-1.1464767902889523,5.229498374519122,5.37321580377443,1.4561320374247044,-4.909339299275613,-5.941605645990673,-0.26509473840436987,6.490434302822137,0.6813954782817607,1.2372491705614461,-3.5573360003363907,-2.4980157500315383,2.4209217282849194,-1.152807758350776,-3.3632100896023047,-1.5926908268245237,-0.5459721450963029,-1.8881832458041432,-0.166976950370209,-0.2290848050799764,Her2
TCGA-E9-A1R4-01,7.023504930031234,8.056805380773895,8.008040895366603,-0.3871070914478872,-13.1563601496282,2.0108331478860157,9.677327204849693,2.847690501429878,-2.131811217705984,0.8542811527948156,5.599356754551776,2.8960324238170956,-3.455078478892891,0.4272877078359796,3.7733673372122896,-2.0786936474446525,0.0393302431247984,-0.8285129339336641,4.344881740706344,3.1109895775509284,1.4319920412859046,-1.9689736710173,0.4004207860335926,-0.9584239882689486,3.9875630800534916,0.4767436632295192,-3.575353899869374,-1.9758365871505448,0.20070131759883075,0.42173051401973355,5.343689958624635,-2.3246256726313064,0.9824738178000205,-3.986053087300029,0.5047410724195726,1.3864197084368326,-1.0601544375150145,1.8819960778612785,-0.4148548177319299,-0.34751701762883874,LumB
TCGA-BH-A0BZ-01,3.7453360377108256,-2.688097686374501,13.890503179885497,7.036149094317057,-3.770482446317022,9.885739739347546,-1.0916637730078014,-6.197421527794125,2.597707653534242,0.058234642516027925,0.28932251430421685,1.385447612786573,-4.417487500899645,-3.565328919271959,0.07984381986105371,-0.8909690028901145,-2.163115114514958,-3.57892590103401,3.6783815240702094,-0.2655921780070249,0.2673703221825645,-0.3906155130935006,2.0050412915357962,-4.453420760704058,3.3333050331880396,-0.19597686269275136,3.2973280035633263,-1.189777646417764,-1.6505974616791512,1.2348957030581222,2.906587465726254,-3.8489261134683033,1.4893660592314257,-3.8037645748287763,-2.902470141276151,-0.29858153184714536,0.13025751806807107,1.0100085201252014,1.6315406982292147,-2.1913819992072354,LumB
TCGA-C8-A3M8-01,-6.2643783122524805,9.32414228227426,-6.740217568037738,-6.0769895508147895,-3.4056009839131027,6.824303601249669,-5.737899012712907,-1.136556770450113,-4.421115081158058,5.625762006554873,4.443492114743808,-1.5015084291376561,-9.179543736616038,-4.639641505001957,-4.076710311901407,1.1068814800360127,-4.2769528927855935,-5.749597932572791,-1.7748888568783074,-1.0153670271608144,-0.08724585484773406,3.1836416411277186,-2.5183892558799457,4.336612110440642,0.1545980742203647,0.649238973724365,4.741591619736585,2.998648229997674,0.13210336717675422,-3.5329583145642602,-2.581369815813867,0.26111448952796457,0.750093279298094,0.8250699600473054,2.4135265801799877,-3.968195848833565,-1.3796593873259544,1.4263325048917177,0.4221479266676789,-1.78538740986222,LumB
