"gene_id","gene_symbol","logFC","t","P.Value","adj.P.Val"
"ENSG00000145920","CPLX2",0.99102430376817,13.677453188957,1.35727856907232e-38,6.78639284536162e-35
"ENSG00000162366","PDZK1IP1",-0.709521827206524,-13.524603764309,7.52489280097493e-38,1.88122320024373e-34
"ENSG00000196132","MYT1",0.943629903739038,12.1524957789222,2.03129289556085e-31,3.38548815926808e-28
"ENSG00000070190","DAPP1",-0.608740790738712,-11.8815898255228,3.3294948712658e-30,4.03968196144203e-27
"ENSG00000064886","CHI3L2",-0.946093353147016,-11.8627028655337,4.03968196144203e-30,4.03968196144203e-27
"ENSG00000135480","KRT7",-0.54297172971681,-11.8084966667282,7.02782748334825e-30,5.8565229027902e-27
"ENSG00000149573","MPZL2",-0.481510256178257,-11.6303806047638,4.28087521293995e-29,3.05776800924282e-26
"ENSG00000108309","RUNDC3A",0.761674804598188,11.4528635508385,2.5420329579662e-28,1.58877059872887e-25
"ENSG00000056487","PHF21B",0.975599165553359,11.2058088262418,2.93539230749928e-27,1.63077350416627e-24
"ENSG00000152503","TRIM36",0.785374562729187,11.1534159967441,4.90719886635317e-27,2.29677501272023e-24
"ENSG00000139352","ASCL1",1.17671073543907,11.1504272989917,5.0529050279845e-27,2.29677501272023e-24
"ENSG00000175318","GRAMD2",-0.699263194524792,-10.9716911647188,2.87726396015882e-26,1.19885998339951e-23
"ENSG00000007402","CACNA2D2",0.885605163125114,10.9066621790917,5.39025073443385e-26,2.07317335939763e-23
"ENSG00000168913","ENHO",0.650825499685345,10.7262045570391,3.03316295548038e-25,1.08327248410014e-22
"ENSG00000257671","RP3-416H24.1",-0.458462542296246,-10.588630794661,1.11592489336525e-24,3.71974964455085e-22
"ENSG00000134258","VTCN1",-0.583186027407105,-10.5620508596252,1.43321089390444e-24,4.37954850141553e-22
"ENSG00000135373","EHF",-0.46488804353746,-10.5579868510305,1.48904649048128e-24,4.37954850141553e-22
"ENSG00000183742","MACC1",-0.418709992830236,-10.4780121327592,3.15184637197996e-24,8.75512881105545e-22
"ENSG00000129159","KCNC1",0.783914045524448,10.4498907084582,4.09857970028239e-24,1.07857360533747e-21
"ENSG00000155093","PTPRN2",0.931496895216125,10.3440833195966,1.09583888677091e-23,2.73959721692728e-21
"ENSG00000109072","VTN",0.63010054413331,10.3112689785668,1.48436652310308e-23,3.53420600738829e-21
"ENSG00000099822","HCN2",0.608763298848269,10.2836106730873,1.91593468609696e-23,4.35439701385672e-21
"ENSG00000121380","BCL2L14",-0.534140797926126,-10.2620445916098,2.33694902660022e-23,5.08032397087004e-21
"ENSG00000006555","TTC22",-0.570667499716323,-10.2213841456643,3.39566460606399e-23,7.07430126263332e-21
"ENSG00000187122","SLIT1",0.78938908808418,10.1916418341724,4.45980436646074e-23,8.91960873292148e-21
"ENSG00000143382","ADAMTSL4",-0.521911232695199,-10.126530875355,8.08305671058666e-23,1.55443398280513e-20
"ENSG00000149926","FAM57B",0.554421517890085,10.107647985567,9.59925170068186e-23,1.77763920382997e-20
"ENSG00000135127","CCDC64",0.42710048096689,10.0896115199734,1.130974814857e-22,2.01959788367321e-20
"ENSG00000182795","C1orf116",-0.542352318027686,-10.0559147334095,1.53546932634746e-22,2.64736090749562e-20
"ENSG00000132639","SNAP25",0.570344042986699,9.97190148740699,3.27963745170372e-22,5.46606241950619e-20
"ENSG00000237807","RP11-400K9.4",-0.576504990683045,-9.94219933743687,4.28389582677486e-22,6.90950939802396e-20
"ENSG00000107954","NEURL1",0.926244345072143,9.84598598230126,1.01345264182979e-21,1.58351975285905e-19
"ENSG00000084628","NKAIN1",0.722989154326538,9.81192574713364,1.37251078432418e-21,2.07956179443057e-19
"ENSG00000156463","SH3RF2",-0.517754919689359,-9.79773350776058,1.55701711835497e-21,2.28973105640437e-19
"ENSG00000101098","RIMS4",0.777035397151355,9.78772321546148,1.70173932314938e-21,2.43105617592768e-19
"ENSG00000008735","MAPK8IP2",0.632385478325525,9.75849568878881,2.20505329589897e-21,3.06257402208191e-19
"ENSG00000017483","SLC38A5",-0.588078036818397,-9.65081049014901,5.69833686004466e-21,7.70045521627656e-19
"ENSG00000162989","KCNJ3",1.0875219726511,9.64026106283578,6.25101233792494e-21,8.22501623411176e-19
"ENSG00000163888","CAMK2N2",0.432026139096428,9.58314932483454,1.0303814057432e-20,1.32100180223487e-18
"ENSG00000143126","CELSR2",0.540877287350952,9.56130596534511,1.24665109470955e-20,1.55831386838694e-18
"ENSG00000167619","TMEM145",0.685785766211773,9.42507629331468,4.05942289605309e-20,4.95051572689402e-18
"ENSG00000185090","MANEAL",0.54924367770801,9.41873949641982,4.28719147715699e-20,5.10379937756785e-18
"ENSG00000170091","HMP19",0.605916445478924,9.39904571681792,5.07896569977735e-20,5.90577406950855e-18
