"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_G2M_CHECKPOINT",1.56130670985764e-29,7.80653354928819e-28,1.40995143033448,0.833472535470977,3.98110341465096,55,"51155/1033/4605/6790/23594/10024/990/11065/1058/9133/890/8318/5347/9232/332/9156/8140/22974/983/24137/4288/699/51203/9212/4085/11004/993/7272/991/1164/3161/1870/57082/10721/3226/1062/3832/899/10403/9700/3159/4001/4751/1063/9493/10733/56992/4171/6491"
"HALLMARK_E2F_TARGETS",6.15752042723287e-26,1.53938010680822e-24,1.31888879607587,0.839484409617721,3.91696105228657,48,"6241/51155/1033/4605/6790/23594/9133/7083/5347/9232/332/9833/983/701/9787/29089/24137/4288/9212/9319/4085/11004/993/9837/991/55635/1164/83461/57405/79733/3161/55143/1062/147841/79019/9700/3159/4001/10733/81624/55723/10635/4171"
"HALLMARK_ALLOGRAFT_REJECTION",2.81708624304207e-15,4.69514373840345e-14,1.00731795687447,0.604157290370765,3.15875426520568,74,"4283/3002/717/3559/6357/586/1230/6351/942/3586/3561/5551/6356/10563/3117/3662/2213/924/914/1520/4318/6352/3689/10225/10261/2833/915/1234/3109/3001/2533/5582/3122/27240/916/729230/973/917/3624/3932/3560/3702/7070/5788/43/3606/6347/940/925/50852"
"HALLMARK_MITOTIC_SPINDLE",2.9687178550993e-10,3.71089731887412e-09,0.814035837847908,0.763838751715325,3.04904245297545,27,"6790/9133/5347/332/54443/22974/983/9787/24137/699/51203/11004/7272/1062/3832/10403/9700/4001/4751/1063/9493/56992"
"HALLMARK_MTORC1_SIGNALING",1.80590225129494e-09,1.80590225129494e-08,0.788186810800237,0.760650782400685,2.96843008062187,24,"6241/6319/6790/10437/5347/9415/8140/699/993/112399/29968/586/899/3689/4171/7852"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.38038075856884e-09,1.9836506321407e-08,0.774939030136436,0.598980875713053,2.76580284020698,45,"10437/6373/3627/4283/952/3620/2209/94240/57823/942/3429/3117/81030/3662/7412/6352/3001/8638/3123/3560/163351/3075/4939/3695/2357/710"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000105228444907449,0.000751631749338925,0.538434096309916,0.718198103330287,2.32964900108844,13,"10437/6373/3627/94240/3429/8638/4938"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000464092205053398,0.00257829002807443,0.49849310876659,0.531849963261671,2.07553777088202,24,"6373/3627/4283/952/3559/1230/3561/10563"
"HALLMARK_INFLAMMATORY_RESPONSE",0.000415435152646138,0.00257829002807443,0.49849310876659,0.330377239424365,1.81526385711208,82,"366/6373/3627/133/4283/3576/623/10663/8744/8685/4481/3586/2867/5329/6364/6352/5029/6504/970/1536/4973/3552/5724/3624/3932/10630/5008/3560"
"HALLMARK_COMPLEMENT",0.000909998235465445,0.00454999117732722,0.477270815362862,0.333687238136123,1.72303314822101,69,"8942/6280/341/7941/3002/717/712/714/2153/5329/2335/4322/1520/1378/6352/5341/3001/4973/6283/1515/4321/3932/1803/3075/88"
"HALLMARK_MYC_TARGETS_V1",0.00100974278339682,0.00458973992453101,0.45505986738723,0.829209534968815,2.05167245411109,6,"890/8318/4085/991/4171"
"HALLMARK_ADIPOGENESIS",0.00198696195577786,0.0082790081490744,0.431707695803346,-0.548629144758438,-1.77973748086548,28,"3679/10580/8436/1149/8404/5733/4023/80760/2167/9370/33/4638"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00219601187399362,0.00844619951536007,0.431707695803346,-0.411409436607266,-1.61642411626743,86,"1952/4886/5366/8614/5241/744/7869/54898/1960/55540/79875/64699/10125/3866/9687/107/9620/18/2674/4137/60598/55638/5655/2353"
"HALLMARK_GLYCOLYSIS",0.00539080596200013,0.0192528784357147,0.407017918923954,0.361059078564231,1.66432993589696,47,"6790/6382/1058/983/10112/1944/112399/9123/55635/3161"
"HALLMARK_SPERMATOGENESIS",0.00656377239724526,0.0218792413241509,0.407017918923954,0.379006849309184,1.66549951622426,36,"6518/1033/6790/9133/23397/983/699/11004/7272"
"HALLMARK_MYC_TARGETS_V2",0.061576354679803,0.192426108374384,0.287857117255149,0.891891891891892,1.39214415199959,2,"5347/10733"
"HALLMARK_DNA_REPAIR",0.086687306501548,0.25,0.271288554688953,0.612663209279533,1.51588250872367,6,"5888/11130/5148"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0907643312101911,0.25,0.186432558434075,-0.783964879852126,-1.35692426135106,3,"5166/4129/481"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0956187747569308,0.25,0.287805130535564,0.244458117840712,1.16766060818652,55,"8942/6373/3627/5328/8744/7262/597/6351/5329/6364/6352/5341/4973/3552/3624"
"HALLMARK_UV_RESPONSE_DN",0.1,0.25,0.148261500475107,-0.37975451833933,-1.33106040711722,40,"50937/7049/3815/4325/627/10486/857/29970/2697/3690/2152/1843/5577/3491/5737/773/2202/4233/10516"
"HALLMARK_APICAL_JUNCTION",0.11194833153929,0.266543646522118,0.134273452883202,-0.324389456959972,-1.25904649562544,79,"3909/8515/5010/1825/253559/1308/65266/1297/3918/7122/10290/72/1307/57863/79849/3881/3914/7216/9379/23114/3673/147/1004/1002/54413/83700/4902/9353/257194"
"HALLMARK_MYOGENESIS",0.14346439957492,0.326055453579364,0.115734447701689,-0.3078317757166,-1.21920696468818,94,"3679/8614/10580/2247/58529/8736/7134/4629/845/5348/10290/11155/7140/3479/3908/6442/29970/4638/844/26287/2775/816/1410/58498/1160/3316/3270/2273/2065/1674/1675/5224/1346/4684/5507/7433/187/2049/3691/2878/1339/5740/6445/3757/6444/10468/8497/6588/6876/6649/7125"
"HALLMARK_XENOBIOTIC_METABOLISM",0.220150798714965,0.478588692858619,0.249246554383295,0.216384790226788,1.10352734839652,67,"8942/366/6999/1244/586/5831/348/1728/1644/2326"
"HALLMARK_HEME_METABOLISM",0.236686390532544,0.493096646942801,0.0913924325943768,-0.35048790431887,-1.18577974971731,34,"6886/9429/2532/25893/10840/4059/4778/3043/6622/55034/119/718/23305/2995"
