"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.73422038823322e-15,4.33555097058306e-14,1.01754479730988,0.759013674355203,2.96220113713517,48,"991/3159/55143/1029/9212/11004/993/83461/55635/9833/23594/5347/9133/10635/146909/81624/4605/9787/9319/4288/9232/332/147841/1062/4171/701/24137/4085/1164/6790/9837/79733/10733/29089/983/1033/4001/6241/51155/79019/3161/55723/7083/57405/3070/9700/7153"
"HALLMARK_G2M_CHECKPOINT",1.12894055609131e-15,4.33555097058306e-14,1.01754479730988,0.733554699066078,2.91628368785996,55,"991/3159/8140/1058/10403/8438/9212/7272/11004/993/6491/699/23594/9156/5347/9133/1870/8318/890/22974/1063/4605/4288/11065/9232/56992/9493/332/10721/1062/4171/24137/4085/1164/10024/6790/3832/10733/57082/983/1033/55872/4001/51155/51203/3161/9700/7153/4751"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",9.68893295936606e-14,1.61482215989434e-12,0.954541630725724,-0.645892752987327,-2.62786681208284,86,"79083/7033/367/771/7031/8416/79875/3875/4602/4137/6337/60598/9620/18/9687/22996/64284/65055/55638/2674/5241/55686/5979/6542/27134/6820/10202/3856/11001/7869/5029/107/11098/8614/4582/54898/26353/10439/58495/3880/56944/6505/4477/2697"
"HALLMARK_MITOTIC_SPINDLE",7.15543015159363e-08,8.94428768949204e-07,0.704975715167238,0.734789114125839,2.51669779038308,27,"10403/7272/11004/80119/54443/699/5347/9133/22974/1063/9787/56992/9493/332/1062/24137/6790/3832/983/4001/51203/9700/7153/4751/675"
"HALLMARK_ESTROGEN_RESPONSE_LATE",3.67211000426315e-07,3.67211000426315e-06,0.674962860011025,-0.518555731506871,-2.1698287249746,100,"7033/10551/771/7031/8416/4602/4137/6337/27075/56521/57758/9254/5241/8309/5979/27134/6820/10202/5618/3158/11001/7869/7177/57834/5104/5733/64377/11098/10538/1363/26353/10439/58495/3880/9547/10610"
"HALLMARK_ALLOGRAFT_REJECTION",1.14092951306999e-05,9.50774594224996e-05,0.593325476396405,0.473325945318657,2.0128175422308,74,"1029/4065/3002/3559/6357/7124/5551/3976/924/6352/3662/3932/926/6347/3569/1230/4318/6351/1520/3135/4050/3561/10225/586/973/3553/10563/43/3689/5196/2069/4283/27240/4843/5579/915/3702/3001/1234/914/942/916/3606/917/50852/3560/925/2833/2533/5788/729230/2650/2213/5582/940"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000247406756834294,0.00176719112024496,0.49849310876659,0.618596935132802,2.05052997396556,24,"2919/7850/2921/3559/3627/952/7124/5967/6373/3569/1230/4050/3561/3553/10563/5196/4283/51330"
"HALLMARK_MYC_TARGETS_V1",0.000540798250409768,0.00337998906506105,0.477270815362862,0.854566473988439,1.89384249708803,6,"991/8318/890/7298/4171/4085"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00511348392238368,0.0284082440132427,0.407017918923954,0.403254506890322,1.603158621978,55,"5806/8061/597/2919/6364/5743/650/2921/5329/6372/3627/7124/3976/2920/6352/6373/6347/3552/3569/5055/3914"
"HALLMARK_ANDROGEN_RESPONSE",0.00790888117380589,0.0395444058690295,0.380730400722792,-0.63357992427417,-1.7640548722916,16,"25803/3856/1718/10788/563/3880/658/6319/9590/79689"
"HALLMARK_SPERMATOGENESIS",0.00897678469912397,0.0408035668141998,0.380730400722792,0.464908782950849,1.70161428835305,36,"419/3595/7272/11004/699/5443/9133/23397/27344/6518/8900/6790/9892/983/29106/1033/2672/4751"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0119137784352571,0.0469374361513363,0.380730400722792,0.405409509118814,1.55242021268874,45,"5743/3620/3627/952/196410/6352/3662/6373/3695/6347/7412/3569/64108/3135/57823/81030/715/4283/10964/716/10437/3001/163351/942/94240/3560/8638"
"HALLMARK_PEROXISOME",0.0122037333993474,0.0469374361513363,0.380730400722792,-0.581096595513004,-1.69751684033233,20,"6833/6820/10512/1718/11001/1733/866/1382/6258"
"HALLMARK_MTORC1_SIGNALING",0.0347995551207821,0.121563236418768,0.321775918075361,0.452259415914066,1.49915306020852,24,"29968/8140/993/699/5347/4171/6790/27071/7852/6241/6513/586/23657/9415/3689"
"HALLMARK_MYOGENESIS",0.0364689709256303,0.121563236418768,0.321775918075361,-0.342761719032103,-1.41101234044293,94,"25803/65055/2065/7433/5507/8912/8614/3270/1728/4151/26353/844/5816/1675/816/1346/624/6319/6444/1293/7138/1277/1281/165/347/3908/845/1134/4629/11155/8038/10468/6445/5224/3479"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0439393939393939,0.137310606060606,0.266350657088526,-0.311934256917672,-1.32461796989548,121,"4148/3485/50863/7078/1842/10631/2697/6586/1311/6695/1278/6444/1303/1004/1293/7057/6424/10085/1277/1634/4060/2200/131578/2191/1281/2331/7070/1009/1289/1290/5999/374/3908/10486/6387/9353/5744/50509/2026/8038/6445/1296/8076/7857/4313/1462/3909/7058/7474/3673/25878/2335/5054/3624/1301/25890/10409"
"HALLMARK_ADIPOGENESIS",0.0547703180212014,0.161089170650592,0.257206466468838,-0.462379049292129,-1.4761145825863,28,"92840/1580/5733/4958/26353/8404/7351/8436/6623"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0716180371352785,0.19893899204244,0.276500599254472,0.293834491582751,1.28858449415404,82,"8685/27074/3696/6376/4233/136/6364/5329/6372/3627/366/3576/133/3976/6369/9966/6352/6373/3932/6347/3552/3569/2769/6869/970/64108/10663/3553/6504/2069/3575/5008/4283/10125/8744/23601"
"HALLMARK_ANGIOGENESIS",0.117967332123412,0.309314280735384,0.173747838999571,-0.472024658485717,-1.33626309764737,17,"5104/10631/7056/4060/6578/1281/1290/6781/7448/1462"
"HALLMARK_FATTY_ACID_METABOLISM",0.134513274336283,0.309314280735384,0.159646701919906,-0.40343414758117,-1.2995662134374,29,"92840/3158/1718/658/4128/8639/126/11185/364/2026/3248/216/7503"
"HALLMARK_P53_PATHWAY",0.137055837563452,0.309314280735384,0.191892240384838,0.344863927560193,1.26223768660446,36,"1029/5268/7039/650/1969/6768/4071/3872/11202/3691/64065"
"HALLMARK_PROTEIN_SECRETION",0.142284569138277,0.309314280735384,0.165656695205483,-0.677365562490956,-1.34596518397678,5,"3875"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.128364389233954,0.309314280735384,0.178219874951973,0.757035551986249,1.32455356038402,3,"7475/22943"
"HALLMARK_MYC_TARGETS_V2",0.152892561983471,0.31104199066874,0.161978948883402,0.824208824208824,1.25184763396581,2,"5347/10733"
"HALLMARK_XENOBIOTIC_METABOLISM",0.15552099533437,0.31104199066874,0.137250779610133,-0.315279691554299,-1.22369184720578,67,"2099/2203/8309/116285/4355/1728/866/1586/629/4128/3728/126/8714/5166/2159/1066/5909/3479/7448/9536/316/10653/5054/948"
"HALLMARK_BILE_ACID_METABOLISM",0.173451327433628,0.33356024506467,0.13880510939114,-0.379630675493923,-1.2333020486908,30,"367/6820/9963/1718/11001/1733/866/6258/10350/23460/8630/10858/7276/10351/216"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.182017543859649,0.337069525666017,0.152144922367565,0.456287333113432,1.26635726049829,13,"27074/3627/6373/64108/10964/716/10437/94240/8638"
"HALLMARK_APICAL_SURFACE",0.214414414414414,0.382882882882883,0.124434168630393,-0.415455461859433,-1.20270020422789,19,"2625/5205/146760"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.224652087475149,0.387331185301981,0.128142916898415,0.594911982030865,1.25554758865291,5,"29968/8140"
"HALLMARK_COAGULATION",0.246105919003115,0.396945030650186,0.105520936843198,-0.294801513513054,-1.14170796583294,66,"164656/8309/10411/3158/11098/3249/283/2151/7078/1675/4320/7056/1311/629/7057/2200/1513/2159/4319/4313/1191/3673/2335/5054/5265/335/3075/10747"
"HALLMARK_GLYCOLYSIS",0.246031746031746,0.396945030650186,0.142901149386948,0.292721863348336,1.13479462803482,47,"1824/1058/7039/55635/4233/136/4166/6662/10112/10331/27087/6790/9080/983/51129/7852/55586"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.296724470134875,0.463631984585742,0.107140237276725,-0.682880222421671,-1.16925401603932,3,"1728"
"HALLMARK_COMPLEMENT",0.327823691460055,0.492753623188406,0.124434168630393,0.255079761275991,1.07068926970338,69,"1515/5646/2919/4321/151/3002/1608/1356/5329/7941/6280/9806/6352/3932/29106/2219/3569/5055/1378/6283/1520/4504/2153/88"
"HALLMARK_HEDGEHOG_SIGNALING",0.340659340659341,0.492753623188406,0.0956031492204301,-0.413877356752451,-1.09026808349412,13,"9620/7070/8633/6252/7857"
"HALLMARK_KRAS_SIGNALING_UP",0.344927536231884,0.492753623188406,0.124434168630393,0.22911224329047,1.04853258811721,110,"3783/25907/10205/51704/7851/8808/6364/5743/650/6590/2118/6662/5329/2254/220/3627/27344/7139/27299/2591/3976/80380/9892/2556/51129/7852/29106/5473/4318/1520/80201/2995/3561/685/3553/4613/10083/5121/3689/2982/2069/3575/3936/6696"
"HALLMARK_PANCREAS_BETA_CELLS",0.366071428571429,0.50843253968254,0.0899860794997137,-0.390206569612182,-1.08643878057394,16,"6833/57586/10590/6927/3642/5126"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.458574181117534,0.619694839348019,0.0817515582532145,-0.603049907578558,-1.03256545314467,3,"5166/4129/481"
"HALLMARK_HEME_METABOLISM",0.488833746898263,0.643202298550346,0.0922597260527354,0.27218120399092,0.981227408260867,34,"55532/119/1870/3049/7504/10841/55034/23305/759/10158"
"HALLMARK_DNA_REPAIR",0.574468085106383,0.724455611390285,0.0702812841717392,-0.425107207786855,-0.899836582018931,6,"4059/10309"
"HALLMARK_UV_RESPONSE_DN",0.579564489112228,0.724455611390285,0.0628003977812234,-0.264370393302861,-0.927391130037563,40,"3778/273/2697/1278/3488/1277/1281/1902/1290/1843/5999/10486/50937"
"HALLMARK_HYPOXIA",0.617834394904459,0.753456579151779,0.0573667426768556,-0.240642325961858,-0.907400737770633,56,"771/2203/6820/5507/8614/8839/9590/1634/1289/1843/2353/2026/2719/6781/5224"
