"Ensembl_ID","Gene_Symbol","ENTREZID","logFC","t","adj.P.Val"
"ENSG00000134853","PDGFRA","5156",-0.676298798547992,-16.9828599169748,3.94406393731367e-52
"ENSG00000162733","DDR2","4921",-0.652818229912899,-16.3328403929436,6.20968696017517e-49
"ENSG00000185483","ROR1","4919",-0.717138963414088,-16.3092636670972,6.20968696017517e-49
"ENSG00000243244","STON1","11037",-0.7610052830206,-16.1949305423739,1.92449601554872e-48
"ENSG00000118495","PLAGL1","5325",-0.81745287079203,-15.9641456034938,2.65664815319236e-47
"ENSG00000164484","TMEM200A","114801",-0.5892306965104,-15.8483503981239,9.1675969073251e-47
"ENSG00000122870","BICC1","80114",-0.621488420937666,-15.3768556154962,2.4154083960915e-44
"ENSG00000088756","ARHGAP28","79822",-0.640332014467672,-15.1348807656112,3.85129185354704e-43
"ENSG00000105971","CAV2","858",-0.553664988401665,-15.0815750717036,6.46622606809665e-43
"ENSG00000182326","C1S","716",-0.619348393645059,-14.9205913874525,3.94141837598064e-42
"ENSG00000057657","PRDM1","639",-0.622303472430927,-14.8136553599453,1.26848268016406e-41
"ENSG00000166250","CLMP","79827",-0.512550160055753,-14.6727115954022,6.10425493739599e-41
"ENSG00000077264","PAK3","5063",-0.62768841525217,-14.5795383874451,1.67774164124924e-40
"ENSG00000105991","HOXA1","3198",-0.463886372844301,-14.3757591580329,1.66994876475228e-39
"ENSG00000168779","SHOX2","6474",-0.375661174884793,-14.3490704913041,2.12334815015243e-39
"ENSG00000135046","ANXA1","301",-0.573683835555398,-14.3433504760756,2.12692798019916e-39
"ENSG00000153012","LGI2","55203",-0.554714070459998,-14.2133761501454,8.97601300398292e-39
"ENSG00000163430","FSTL1","11167",-0.562360838734086,-14.1993680578272,9.96047676251436e-39
"ENSG00000206538","VGLL3","389136",-0.524962026129545,-14.0177384001316,7.56647137691533e-38
"ENSG00000151917","BEND6","221336",-0.544445737863408,-13.953575384728,1.4938355241875e-37
"ENSG00000149970","CNKSR2","22866",-0.766862634144683,-13.9316949472923,1.82492142608182e-37
"ENSG00000197646","PDCD1LG2","80380",-0.632199634883826,-13.8542731123382,4.19577205828566e-37
"ENSG00000149633","KIAA1755","85449",-0.565372592368022,-13.8020677713235,7.24756131040214e-37
"ENSG00000189184","PCDH18","54510",-0.534689476269798,-13.6073131805398,6.22237252077352e-36
"ENSG00000235531","MSC-AS1","100132891",-0.582870123710443,-13.5533869621256,1.0384467317334e-35
"ENSG00000000971","CFH","3075",-0.515043431623973,-13.5515457284605,1.0384467317334e-35
"ENSG00000159403","C1R","715",-0.522449283715002,-13.5510369613329,1.0384467317334e-35
"ENSG00000113083","LOX","4015",-0.609727307443182,-13.5374126704403,1.1660456235188e-35
"ENSG00000110427","KIAA1549L","25758",-0.533700802854454,-13.5328565524791,1.18462081721944e-35
"ENSG00000134874","DZIP1","22873",-0.489130703826829,-13.4163786745888,4.19123642305292e-35
"ENSG00000162692","VCAM1","7412",-0.556981847940223,-13.3998645946827,4.87238502696151e-35
"ENSG00000170153","RNF150","57484",-0.646800172510635,-13.3930440041549,5.09128826995098e-35
"ENSG00000180828","BHLHE22","27319",-0.604712781842989,-13.3512353144676,7.84771001196703e-35
"ENSG00000074047","GLI2","2736",-0.569810428140533,-13.2931489150342,1.44795406714048e-34
